reaction_progress_eps,distance_from_edge_um,delta18O_CZ_increment_permil
0.01,3.4459164584448034,-49.9677795985252
0.02,6.9151165776359935,-49.823197682429466
0.03,10.407997701907117,-49.67903038059538
0.04,13.924968137285775,-49.535276504043075
0.05,17.466447571652527,-49.391934867202316
0.06,21.032867515611564,-49.24900428790268
0.07,24.624671765329232,-49.10648358736383
0.08,28.242316888681675,-48.96437159018581
0.09,31.88627273615477,-48.82266712433931
0.1,35.557022978041225,-48.68136902115604
0.11,39.255065669598906,-48.540476115319045
0.12,42.98091384595581,-48.39998724485316
0.13,46.735096148686345,-48.25990125111536
0.14,50.518157486128814,-48.120216978785244
0.15,54.330659729675546,-47.980933275855506
0.16,58.173182448446745,-47.84204899362241
0.17,62.04632368494334,-47.703562986676346
0.18,65.95070077449166,-47.56547411289235
0.19,69.88695121151855,-47.427781233420724
0.2,73.85573356594455,-47.29048321267761
0.21,77.85772845326444,-47.15357891833564
0.22,81.89363956217791,-47.0170672213146
0.23,85.96419474397501,-46.88094699577211
0.24,90.07014716823775,-46.745217119094356
0.25,94.21227654982586,-46.60987647188679
0.26,98.3913904525581,-46.47492393796495
0.27,102.60832567548894,-46.34035840434522
0.28,106.86394972822241,-46.20617876123567
0.29,111.15916240230395,-46.07238390202688
0.3,115.49489744639638,-45.938972723282845
0.31,119.87212435368308,-45.80594412473185
0.32,124.2918502707603,-45.673297009257396
0.33,128.7551220381948,-45.54103028288919
0.34,133.26302837394095,-45.409142854794055
0.35000000000000003,137.8167022119446,-45.27763363726699
0.36,142.41732320953855,-45.14650154572218
0.37,147.0661204386528,-45.015745498684055
0.38,151.7643752774653,-44.88536441777836
0.39,156.51342452091544,-44.75535722772328
0.4,161.31466373052683,-44.62572285632055
0.41000000000000003,166.16955084627182,-44.49646023444662
0.42,171.0796100857953,-44.36756829604386
0.43,176.04643615923885,-44.23904597811174
0.44,181.07169883123387,-44.110892220698055
0.45,186.15714786541156,-43.983105966890236
0.46,191.3046183910916,-43.85568616280656
0.47000000000000003,196.51603673673594,-43.728631757587536
0.48,201.7934267804046,-43.601941703387155
0.49,207.13891687392947,-43.475614955364335
0.5,212.55474740499173,-43.349650471674224
0.51,218.04327906990287,-43.22404721345967
0.52,223.60700193986727,-43.098804144842624
0.53,229.24854541508665,-42.97392023291558
0.54,234.97068917454803,-42.849394447733104
0.55,240.77637524509186,-42.72522576230331
0.56,246.6687213318043,-42.601413152579376
0.5700000000000001,252.6510355734797,-42.47795559745112
0.58,258.7268329124931,-42.35485207873659
0.59,264.8998532987258,-42.23210158117364
0.6,271.1740819832237,-42.10970309241156
0.61,277.5537722002447,-41.98765560300276
0.62,284.0434705878873,-41.86595810639439
0.63,290.64804575949415,-41.744609598920086
0.64,297.3727205130204,-41.62360907979168
0.65,304.22310825667626,-41.50295555109092
0.66,311.20525434043117,-41.382648017761284
0.67,318.3256831196228,-41.26268548759973
0.68,325.59145174565015,-41.143066971248565
0.6900000000000001,333.01021188836444,-41.02379148218722
0.7000000000000001,340.59028085685907,-40.904858036724164
0.71,348.3407239152422,-40.78626565398878
0.72,356.27145000817666,-40.66801335592326
0.73,364.3933236451888,-40.55010016727456
0.74,372.7182963807328,-40.43252511558635
0.75,381.25956222075126,-40.31528723119097
0.76,390.0317424583921,-40.198385547201475
0.77,399.0511069936771,-40.08181909950365
0.78,408.3358412698702,-39.965586926747996
0.79,417.90637077383786,-39.84968807034191
0.8,427.78575890833184,-39.73412157444171
0.81,438.00019941294727,-39.61888648594474
0.8200000000000001,448.5796320894989,-39.50398185448156
0.8300000000000001,459.5585214640076,-39.38940673240807
0.84,470.9768539114408,-39.27516017479772
0.85,482.8814324661531,-39.16124123943369
0.86,495.3275846695995,-39.04764898680115
0.87,508.38145528627706,-38.93438248007947
0.88,522.1231465447125,-38.82144078513454
0.89,536.6511193990476,-38.708822970511044
0.9,552.088529259042,-38.59652810742478
0.91,568.592637340181,-38.484555269754985
0.92,586.3693240808391,-38.372903534036716
0.93,605.6965118916868,-38.26157197945324
0.9400000000000001,626.9641634460036,-38.15055968782843
0.9500000000000001,650.7477034676817,-38.03986574361916
0.96,677.9563883488945,-37.92948923390784
0.97,710.1765337052657,-37.81942924839479
0.98,750.6490894317901,-37.709684879390785
0.99,808.3453245164891,-37.600255221809576
1.0,1030.3213249521393,-37.49113937316038
