reaction_progress_eps,delta29Si_fluid_permil,delta29Si_bulk_CZ_permil
0.0,1950000.0,
0.01,1617073.372195122,1617073.372195122
0.02,1381250.344166667,1381250.344166667
0.03,1205454.9960000003,1205454.9960000003
0.04,1069355.3716129037,1069355.3716129037
0.05,960870.1637681164,960870.1637681164
0.06,872369.0731578952,872369.0731578952
0.07,798795.8773493981,798795.8773493981
0.08,736667.4008888896,736667.4008888896
0.09,683505.9210309286,683505.9210309286
0.1,637500.79423077,637500.79423077
0.11,597298.1158558566,597298.1158558566
0.12,561865.2467796616,561865.2467796616
0.13,530400.8590400007,530400.8590400007
0.14,502273.60333333403,502273.60333333403
0.15,476979.30863309425,476979.30863309425
0.16,454110.494246576,454110.494246576
0.17,433334.2511111118,433334.2511111118
0.18,414375.9292500007,414375.9292500007
0.19,397006.9277844317,397006.9277844317
0.2,381035.43218390865,381035.43218390865
0.21,366299.3008839785,366299.3008839785
0.22,352660.5410638304,352660.5410638304
0.23,340000.97425641085,340000.97425641085
0.24,328218.8031683174,328218.8031683174
0.25,317225.8684210532,317225.8684210532
0.26,306945.4387037043,306945.4387037043
0.27,297310.41713004536,297310.41713004536
0.28,288261.8751304353,288261.8751304353
0.29,279747.8461603381,279747.8461603381
0.3,271722.3270491808,271722.3270491808
0.31,264144.4464541838,264144.4464541838
0.32,256977.76868217104,256977.76868217104
0.33,250189.7078490571,250189.7078490571
0.34,243751.03250000053,243751.03250000053
0.35000000000000003,237635.44480286786,237635.44480286786
0.36,231819.22153846206,231819.22153846206
0.37,226280.90655290155,226280.90655290155
0.38,221001.04626666717,221001.04626666717
0.39,215961.9613680787,215961.9613680787
0.4,211147.5490445865,211147.5490445865
0.41000000000000003,206543.11109034318,206543.11109034318
0.42,202135.20402439075,202135.20402439075
0.43,197911.5080000005,197911.5080000005
0.44,193860.71181286598,193860.71181286598
0.45,189972.41174785147,189972.41174785147
0.46,186237.02235955102,186237.02235955102
0.47000000000000003,182645.69757575804,182645.69757575804
0.48,179190.2607567572,179190.2607567572
0.49,175863.14254641955,175863.14254641955
0.5,172657.32552083378,172657.32552083378
0.51,169566.29478260913,169566.29478260913
0.52,166583.99376884467,166583.99376884467
0.53,163704.78464197574,163704.78464197574
0.54,160923.41271844704,160923.41271844704
0.55,158234.97446300762,158234.97446300762
0.56,155634.88863849812,155634.88863849812
0.5700000000000001,153118.870254042,153118.870254042
0.58,150682.90700000047,150682.90700000047
0.59,148323.2378970922,148323.2378970922
0.6,146036.3339207053,146036.3339207053
0.61,143818.880390456,143818.880390456
0.62,141667.7609401714,141667.7609401714
0.63,139580.0429052636,139580.0429052636
0.64,137552.96398340294,137552.96398340294
0.65,135583.92004090024,135583.92004090024
0.66,133670.45395161334,133670.45395161334
0.67,131810.2453677937,131810.2453677937
0.68,130001.10133333378,130001.10133333378
0.6900000000000001,128240.94765957491,128240.94765957491
0.7000000000000001,126527.82099236685,126527.82099236685
0.71,124859.8615065918,124859.8615065918
0.72,123235.30617100418,123235.30617100418
0.73,121652.48253211055,121652.48253211055
0.74,120109.80297101496,120109.80297101496
0.75,118605.75939177147,118605.75939177147
0.76,117138.91830388737,117138.91830388737
0.77,115707.91626527096,115707.91626527096
0.78,114311.45565517287,114311.45565517287
0.79,112948.30074957456,112948.30074957456
0.8,111617.27407407454,111617.27407407454
0.81,110317.25301164771,110317.25301164771
0.8200000000000001,109047.16664473728,109047.16664473728
0.8300000000000001,107805.99281300858,107805.99281300858
0.84,106592.75536977539,106592.75536977539
0.85,105406.52162162209,105406.52162162209
0.86,104246.39993710739,104246.39993710739
0.87,103111.53751166454,103111.53751166454
0.88,102001.11827692353,102001.11827692353
0.89,100914.36094368386,100914.36094368386
0.9,99850.51716867516,99850.51716867516
0.91,98808.86983606602,98808.86983606602
0.92,97788.73144542817,97788.73144542817
0.93,96789.44259854058,96789.44259854058
0.9400000000000001,95810.37057803514,95810.37057803514
0.9500000000000001,94850.90801144538,94850.90801144538
0.96,93910.47161473133,93910.47161473133
0.97,92988.50100981814,92988.50100981814
0.98,92084.45761111157,92084.45761111157
0.99,91197.82357634159,91197.82357634159
1.0,90328.10081743915,90328.10081743915
