Class, Spot,Type,206Pb-238U_Age,1σ
SMMZ ,AGF_re-1.1 ,SM,1375,71
SMMZ ,AGF_re-1.2 ,SM,516,10
SMCZ,AGF_re-2.1 ,SM,1190,206
SMCZ,AGF_re-2.2 ,SM,1471,13
SMCZ,AGF_re-3.1 ,SM,1357,16
SMCZ,AGF_re-3.2 ,SM,735,9
SMCZ,AGF_re-4.1 ,SM,1423,15
SMMZ ,AGF_re-4.2 ,SM,641,11
SMCZ,AGF_re-5.1 ,SM,1352,16
SMMZ ,AGF_re-5.2 ,SM,898,14
RPHZR,015-1l ,RP,575,9
RPHZR,015-2r ,RP,452,6
RPRZC,015-3b ,RP,580,9
RPRZC,015-4r ,RP,567,7
RPRZC,015-5b ,RP,580,5
RPRZC,015-6b ,RP,577,7
mix,015-7r ,RP,577,8
mix,015-8r ,RP,553,9
RPRZC,015-9b ,RP,578,5
RPHZR,015-10l ,RP,582,10
RPRZC,015-11t ,RP,576,7
Mix,015-12l ,RP,561,9
RPHZR,015-13l ,RP,508,6
Miz,015-14l ,RP,588,7
RPRZC,015-15l ,RP,579,9
RPHZR,015-16l ,RP,360,5
RPHZR,016-1r ,RP,323,8
RPRZC,016-3r ,RP,570,6
RPHZR,016-4t ,RP,498,12
RPRZC,016-5r ,RP,586,6
RPRZC,016-6l ,RP,589,6
RPRZC,016-7l ,RP,563,21
mix,016-8r ,RP,540,6
RPRZC,016-9t ,RP,587,6
RPRZC,016-10t ,RP,588,6
RPCZ,016-11t ,RP,580,16
RPRZC,016-12t ,RP,571,6
RPCZ,016-13l ,RP,577,12
RPCZ,016-14t ,RP,558,11
RPCZ,016-15t ,RP,577,11
mix,016-16 ,RP,575,6
mix,016-17 ,RP,539,27
RPRZC,016-18 ,RP,580,8
RPRZC,014-1b ,RP,582,6
RPHZR,014-3b ,RP,485,6
RPHZR,014-4t ,RP,447,5
RPRZC,014-5t ,RP,569,7
RPRZC,014-6t ,RP,546,12
RPHZR,014-7b ,RP,476,5
RPHZR,014-8b ,RP,555,5
RPCZ,014-9b ,RP,568,11
RPCZ,014-10b ,RP,565,6
RPRZC,014-11t ,RP,577,6
RPHZR,014-12t ,RP,497,6
