Raman.Shift,Mud Tank
299.2819,0
300.2461,2.423145
301.2103,3.453701
302.1746,4.80127
303.1388,5.384395
304.103,4.268633
305.0673,1.005352
306.0315,-1.330254
306.9957,-2.696758
307.96,-3.062227
308.9242,-1.8871
309.8884,1.116016
310.8527,4.129873
311.8169,5.614775
312.7811,6.299922
313.7454,6.550742
314.7096,6.637617
315.6738,6.723164
316.6381,7.312246
317.6023,8.320029
318.5665,9.57208
319.5308,10.92413
320.495,12.35976
321.4592,13.74423
322.4235,15.08423
323.3877,16.31094
324.3519,17.52011
325.3162,19.00737
326.2804,19.87903
327.2446,19.04565
328.2089,18.23493
329.1731,18.67236
330.1373,21.01708
331.1016,24.56186
332.0658,29.05957
333.03,33.8757
333.9943,38.20008
334.9585,41.28432
335.9227,43.5149
336.887,47.00384
337.8512,51.6231
338.8154,57.57791
339.7797,65.04855
340.7439,74.10839
341.7081,84.83332
342.6724,94.80953
343.6366,107.4706
344.6008,124.8631
345.5651,145.4128
346.5293,178.1775
347.4935,207.3164
348.4578,253.5424
349.422,324.5742
350.3862,416.3935
351.3505,587.4926
352.3147,931.5544
353.2789,1375.528
354.2432,1832.994
355.2074,2219.171
356.1716,2506.952
357.1359,2479.271
358.1001,2099.594
359.0643,1583.495
360.0286,1149.712
360.9928,811.8359
361.957,558.7009
362.9213,401.4271
363.8855,301.2859
364.8497,230.33
365.814,186.3289
366.7782,156.6022
367.7424,134.1661
368.7067,116.8747
369.6709,103.626
370.6351,93.84827
371.5994,86.47867
372.5636,77.77316
373.5278,68.3625
374.4921,60.1227
375.4563,54.90373
376.4205,53.40992
377.3848,51.48725
378.349,49.00988
379.3132,46.40542
380.2775,43.59726
381.2417,39.47053
382.2059,38.21313
383.1702,41.48141
384.1344,46.16122
385.0986,49.51012
386.0629,49.87212
387.0271,51.85838
387.9913,59.05072
388.9556,69.29356
389.9198,82.30674
390.884,97.67871
391.8483,112.6935
392.8125,117.9891
393.7767,115.4441
394.741,108.1593
395.7052,98.01192
396.6694,84.33582
397.6337,71.93987
398.5979,59.06028
399.5621,48.38879
400.5264,41.7249
401.4906,39.6205
402.4548,39.09312
403.4191,39.58098
404.3833,40.77337
405.3475,42.86808
406.3118,45.81566
407.276,48.73009
408.2402,49.47336
409.2045,49.8968
410.1687,51.89544
411.1329,56.30788
412.0972,62.68225
413.0614,69.17155
414.0256,76.0924
414.9899,81.18756
415.9541,82.9421
416.9183,81.30431
417.8826,80.44717
418.8468,79.74077
419.811,80.51629
420.7753,83.31113
421.7395,88.02386
422.7037,93.77744
423.668,98.79126
424.6322,106.345
425.5964,116.1111
426.5607,129.4735
427.5249,148.2535
428.4891,172.8667
429.4534,208.6443
430.4176,259.187
431.3818,326.1741
432.3461,417.8003
433.3103,556.5198
434.2745,758.8005
435.2388,995.1453
436.203,1338.02
437.1672,1704.564
438.1315,1926.565
439.0957,1928.384
440.0599,1821.415
441.0242,1573.854
441.9884,1261.078
442.9526,969.7209
443.9169,749.0745
444.8811,589.2901
445.8453,468.6791
446.8096,380.5798
447.7738,316.3484
448.738,268.5517
449.7023,237.1996
450.6665,208.7939
451.6307,182.8849
452.595,160.2053
453.5592,141.8489
454.5234,129.079
455.4877,117.1178
456.4519,104.3787
457.4161,93.4706
458.3804,86.85782
459.3446,85.43536
460.3088,83.83914
461.2731,78.59019
462.2373,72.75697
463.2015,67.9143
464.1658,64.72203
465.13,62.84086
466.0942,62.02485
467.0585,61.81832
468.0227,62.40265
468.9869,63.87427
469.9512,65.62499
470.9154,64.13831
471.8796,57.6582
472.8439,51.95669
473.8081,48.37392
474.7723,46.23376
475.7366,43.18168
476.7008,37.4552
477.665,32.41487
478.6293,29.17609
479.5935,27.19532
480.5577,25.18162
481.522,21.75156
482.4862,18.35298
483.4504,16.39279
484.4147,15.65846
485.3789,15.75042
486.3431,16.25925
487.3074,17.0653
488.2716,16.72457
489.2358,15.12025
490.2001,13.20017
491.1643,11.92306
492.1285,11.65322
493.0928,11.02166
494.057,9.291299
495.0212,7.788105
495.9855,7.426309
496.9497,8.447881
497.9139,9.676484
498.8782,10.02586
499.8424,10.62931
500.8066,12.41017
501.7709,15.42759
502.7351,18.75071
503.6993,20.79808
504.6636,21.88393
505.6278,22.34734
506.592,22.20506
507.5563,21.50572
508.5205,20.48854
509.4847,19.30939
510.449,17.42672
511.4132,14.4777
512.3774,11.01502
513.3417,7.769111
514.3059,4.280938
515.2701,2.065098
516.2344,2.245693
517.1986,3.451611
518.1628,4.224014
519.1271,3.655117
520.0913,2.626504
521.0555,2.527314
522.0198,2.815596
522.984,2.552656
523.9482,1.114961
524.9125,-1.351611
525.8767,-1.976006
526.8409,-0.3419922
527.8052,1.241846
528.7694,1.727119
529.7336,1.156572
530.6979,0.8128321
531.6621,1.1479
532.6263,1.158896
533.5906,0.2692285
534.5548,-1.119785
535.519,-1.958242
536.4833,-1.203897
537.4475,0.1643945
538.4117,1.348428
539.376,2.354912
540.3402,3.385254
541.3044,4.68209
542.2687,6.25583
543.2329,7.770029
544.1971,9.243056
545.1614,10.21267
546.1256,10.18419
547.0898,8.922022
548.0541,7.657842
549.0183,6.077744
549.9825,4.898789
550.9468,4.764678
551.911,5.636377
552.8752,6.056914
553.8395,4.170127
554.8037,2.267637
555.7679,1.723926
556.7322,2.423916
557.6964,3.188144
558.6606,2.243526
559.6249,0.07314453
560.5891,-1.562871
561.5533,-2.575723
562.5176,-3.083144
563.4818,-3.141572
564.446,-2.216641
565.4103,-2.087432
566.3745,-3.317207
567.3387,-4.688467
568.303,-5.224365
569.2672,-4.710625
570.2314,-4.319121
571.1957,-4.362461
572.1599,-4.844043
573.1241,-6.065078
574.0884,-7.844512
575.0526,-9.336201
576.0168,-8.881573
576.9811,-7.566699
577.9453,-7.033486
578.9095,-7.573828
579.8738,-8.706396
580.838,-9.436807
581.8022,-9.646182
582.7665,-9.884492
583.7307,-10.29575
584.6949,-10.46936
585.6592,-9.768682
586.6234,-7.629111
587.5876,-6.287666
588.5519,-6.990752
589.5161,-8.003819
590.4803,-8.05372
591.4446,-6.826602
592.4088,-5.501133
593.373,-6.182608
594.3373,-7.295879
595.3015,-7.206494
596.2657,-5.652373
597.23,-3.424697
598.1942,-2.160645
599.1584,-2.04377
600.1227,-2.606797
601.0869,-4.714209
602.0511,-7.128653
603.0154,-8.063154
603.9796,-6.825459
604.9438,-5.668525
605.9081,-4.682138
606.8723,-3.82375
607.8365,-3.331338
608.8008,-3.259404
609.765,-2.891357
610.7292,-0.6932226
611.6935,1.74082
612.6577,3.333965
613.6219,3.832383
614.5862,3.487197
615.5504,2.64792
616.5146,1.219883
617.4789,0.1252832
618.4431,-0.7098828
619.4073,-1.148027
620.3716,-0.7374805
621.3358,1.376426
622.3,2.351484
623.2643,1.090693
624.2285,-0.4769043
625.1927,-1.25582
626.157,-0.9980762
627.1212,-0.3023926
628.0854,1.174463
629.0497,2.355918
630.0139,2.262568
630.9781,0.9981738
631.9424,-0.647793
632.9066,-1.654053
633.8708,-1.727978
634.8351,-0.4462402
635.7993,2.330166
636.7635,5.490684
637.7278,8.006894
638.692,9.989161
639.6563,11.17696
640.6205,12.17043
641.5847,12.27139
642.549,10.39211
643.5132,6.692939
644.4774,3.384971
645.4417,2.411338
646.4059,2.093486
647.3701,1.710039
648.3344,1.158984
649.2986,0.4983398
650.2628,-0.242959
651.2271,-1.030215
652.1913,-1.758945
653.1555,-2.49915
654.1198,-2.916358
655.084,-2.631221
656.0482,-1.539648
657.0125,-0.9155273
657.9767,-0.644707
658.9409,-0.7453613
659.9052,-1.722461
660.8694,-3.13166
661.8336,-3.643379
662.7979,-1.840752
663.7621,-0.2611328
664.7263,-0.7028613
665.6906,-2.265742
666.6548,-3.545664
667.619,-3.502139
668.5833,-2.542822
669.5475,-2.556504
670.5117,-3.403887
671.476,-3.959355
672.4402,-3.600625
673.4044,-2.502363
674.3687,-1.831963
675.3329,-1.818203
676.2971,-1.931289
677.2614,-2.603779
678.2256,-3.201113
679.1898,-2.682725
680.1541,-0.3198926
681.1183,1.67917
682.0825,1.520488
683.0468,0.677666
684.011,0.4638965
684.9752,1.349707
685.9395,2.69418
686.9037,3.170664
687.8679,2.963418
688.8322,2.829062
689.7964,2.773272
690.7606,2.878145
691.7249,3.362803
692.6891,4.44875
693.6533,5.238818
694.6176,5.980098
695.5818,6.595254
696.546,6.839453
697.5103,6.638115
698.4745,6.447588
699.4387,6.894316
700.403,7.228115
701.3672,6.899346
702.3314,6.125772
703.2957,5.523232
704.2599,5.745
705.2241,6.727256
706.1884,7.635518
707.1526,8.343418
708.1168,8.73461
709.0811,8.742422
710.0453,8.426123
711.0095,8.154433
711.9738,8.122451
712.938,8.052227
713.9022,7.758008
714.8665,7.298233
715.8307,6.885605
716.7949,6.726885
717.7592,6.495781
718.7234,5.87375
719.6876,5.002773
720.6519,4.03084
721.6161,3.074805
722.5803,2.198584
723.5446,1.39084
724.5088,0.5167481
725.473,0.3282715
726.4373,1.431914
727.4015,3.005537
728.3657,3.487334
729.33,2.488066
730.2942,1.440811
731.2584,0.1509277
732.2227,-1.046426
733.1869,-2.04041
734.1511,-2.757519
735.1154,-2.959385
736.0796,-1.78999
737.0438,-0.5468262
738.0081,-0.3487305
738.9723,-1.093809
739.9365,-2.219102
740.9008,-3.136719
741.865,-3.808154
742.8292,-3.846572
743.7935,-3.059863
744.7577,-2.513643
745.7219,-3.146465
746.6862,-4.721875
747.6504,-5.189551
748.6146,-3.233936
749.5789,-1.430693
750.5431,0.02792969
751.5073,0.9730762
752.4716,1.058457
753.4358,0.03216797
754.4,-1.20374
755.3643,-1.865088
756.3285,-1.8729
757.2927,-0.5245703
758.257,2.191524
759.2212,5.163574
760.1854,6.07251
761.1497,4.106846
762.1139,2.695303
763.0781,1.989766
764.0424,1.584189
765.0066,1.20665
765.9708,0.8835645
766.9351,0.7541211
767.8993,1.249189
768.8635,1.543164
769.8278,1.04834
770.792,0.0511914
771.7562,-0.728457
772.7205,-0.6995215
773.6847,-0.2105859
774.6489,0.04492188
775.6132,0.108125
776.5774,0.03882812
777.5416,-0.1493164
778.5059,-0.3967383
779.4701,-0.4188867
780.4343,0.04829102
781.3986,0.5286816
782.3628,1.057412
783.327,1.455801
784.2913,1.501748
785.2555,1.144902
786.2197,0.9317676
787.184,1.207637
788.1482,1.56793
789.1124,1.663311
790.0767,1.579648
791.0409,1.748545
792.0051,2.690312
792.9694,4.183731
793.9336,5.357041
794.8978,6.199883
795.8621,6.455859
796.8263,5.711699
797.7905,4.091152
798.7548,3.475957
799.719,5.430664
800.6832,6.687149
801.6475,6.633721
802.6117,5.940635
803.5759,5.131094
804.5402,4.171514
805.5044,3.989492
806.4686,6.171836
807.4329,9.034287
808.3971,11.35362
809.3613,12.89486
810.3256,14.09773
811.2898,15.51756
812.254,17.12926
813.2183,18.72849
814.1825,20.23684
815.1467,22.32104
816.111,25.46089
817.0752,29.58738
818.0394,33.93148
819.0037,39.17353
819.9679,43.57749
820.9321,47.13664
821.8964,49.69247
822.8606,50.98605
823.8248,50.87447
824.7891,49.61153
825.7533,46.69691
826.7175,43.21487
827.6818,40.13625
828.646,37.64442
829.6102,35.51799
830.5745,33.49556
831.5387,31.56521
832.5029,29.65017
833.4672,27.74223
834.4314,26.01348
835.3956,24.49998
836.3599,23.1769
837.3241,22.04921
838.2883,21.12938
839.2526,20.50076
840.2168,20.57703
841.181,20.74274
842.1453,20.22939
843.1095,18.77256
844.0737,16.9503
845.038,15.6757
846.0022,14.88435
846.9664,14.24032
847.9307,13.72096
848.8949,13.4308
849.8591,13.57123
850.8234,14.26964
851.7876,14.47177
852.7518,13.59456
853.7161,12.86013
854.6803,12.67175
855.6445,12.91951
856.6088,13.40531
857.573,14.17983
858.5372,14.75591
859.5015,14.28045
860.4657,13.50704
861.4299,13.35263
862.3942,14.03753
863.3584,15.03518
864.3226,15.4584
