Raman.Shift,Run Product (8 Hr)
299.2819,0
300.2461,-1.0746705
301.2103,-0.8412015
302.1746,0.6703215
303.1388,2.185172
304.103,3.221719
305.0673,3.76398925
306.0315,3.74318535
306.9957,2.2712095
307.96,1.0321135
308.9242,1.102582
309.8884,2.9414735
310.8527,4.97525605
311.8169,5.8072647
312.7811,6.14183475
313.7454,6.422395595
314.7096,6.9508374
315.6738,7.724559
316.6381,8.6162255
317.6023,9.643371
318.5665,10.9657775
319.5308,12.7086925
320.495,14.943452
321.4592,17.21335
322.4235,19.59207
323.3877,21.887945
324.3519,23.81311
325.3162,24.991815
326.2804,27.235295
327.2446,31.431195
328.2089,36.115875
329.1731,40.10794
330.1373,42.60368
331.1016,44.683645
332.0658,47.335325
333.03,50.479975
333.9943,53.92832
334.9585,57.48716
335.9227,61.588065
336.887,67.74327
337.8512,75.76419
338.8154,85.519535
339.7797,96.801425
340.7439,109.40585
341.7081,124.70875
342.6724,139.3316
343.6366,157.9433
344.6008,182.74115
345.5651,209.97775
346.5293,257.956
347.4935,311.01025
348.4578,389.218
349.422,501.3437
350.3862,645.46045
351.3505,873.86345
352.3147,1265.4065
353.2789,1754.3685
354.2432,2267.099
355.2074,2731.6795
356.1716,3122.564
357.1359,3191.4435
358.1001,2914.5475
359.0643,2470.4275
360.0286,2031.22
360.9928,1565.893
361.957,1192.0995
362.9213,920.0271
363.8855,715.88235
364.8497,556.58455
365.814,442.16005
366.7782,357.74745
367.7424,293.7568
368.7067,244.08655
369.6709,204.5424
370.6351,172.15805
371.5994,147.3239
372.5636,128.0959
373.5278,113.2722
374.4921,101.36435
375.4563,90.891255
376.4205,82.179585
377.3848,75.03006
378.349,69.39748
379.3132,64.91646
380.2775,61.364065
381.2417,58.83703
382.2059,56.89345
383.1702,55.47487
384.1344,54.497655
385.0986,53.7836
386.0629,53.163865
387.0271,53.34541
387.9913,54.97935
388.9556,57.448165
389.9198,60.49323
390.884,63.894545
391.8483,67.250625
392.8125,69.535905
393.7767,70.83716
394.741,70.555535
395.7052,68.09397
396.6694,62.979775
397.6337,58.67871
398.5979,54.44139
399.5621,51.27323
400.5264,49.990675
401.4906,50.9116
402.4548,52.120635
403.4191,51.877675
404.3833,52.57034
405.3475,56.11523
406.3118,62.979645
407.276,70.473845
408.2402,74.07389
409.2045,76.65206
410.1687,80.747085
411.1329,87.57745
412.0972,96.809245
413.0614,107.85125
414.0256,121.20385
414.9899,131.09515
415.9541,134.3242
416.9183,130.8361
417.8826,127.9679
418.8468,125.72015
419.811,124.11875
420.7753,122.5159
421.7395,121.23285
422.7037,122.11705
423.668,126.9408
424.6322,134.43355
425.5964,142.1928
426.5607,151.67605
427.5249,166.38165
428.4891,190.03195
429.4534,225.92385
430.4176,273.5167
431.3818,333.88535
