Raman.Shift,Starting Material (006)
299.0287,-1.31955275
299.9929,-1.09146435
300.9572,-0.6025195
301.9214,-0.130061
302.8856,0.36539385
303.8499,0.68647296
304.8141,0.72625045
305.7783,0.46342089
306.7426,0.0819748
307.7068,-0.6533326
308.671,-1.238882985
309.6353,-1.3554598
310.5995,-0.89249035
311.5637,-0.448551
312.528,-0.55564045
313.4922,-0.7877783
314.4564,-0.7335119
315.4207,-0.17275
316.3849,0.482538
317.3491,-0.3678083
318.3134,-2.073616
319.2776,-3.0352055
320.2418,-1.9354905
321.2061,1.7549177
322.1703,3.4615625
323.1345,2.1593835
324.0988,0.3884361
325.063,0.0477095
326.0272,1.832582
326.9915,2.892534
327.9557,2.5820755
328.9199,1.792094
329.8842,1.1240149
330.8484,0.88771815
331.8126,0.8022376
332.7769,0.3883803
333.7411,-0.0303757
334.7053,-0.0484848
335.6696,0.683752
336.6338,2.0130975
337.598,2.866876
338.5623,3.2688465
339.5265,3.596743
340.4907,4.249779
341.455,5.39341
342.4192,6.4911315
343.3834,7.32781
344.3477,8.264707
345.3119,9.5323555
346.2761,10.9914765
347.2404,13.3552605
348.2046,16.312049
349.1688,20.220885
350.1331,25.57805
351.0973,32.834135
352.0615,41.35511
353.0258,50.560845
353.99,59.92262
354.9542,68.752395
355.9185,76.40816
356.8827,82.385215
357.8469,82.66151
358.8112,76.93956
359.7754,67.83997
360.7396,57.774265
361.7039,45.421825
362.6681,35.386435
363.6323,27.77665
364.5966,21.8524775
365.5608,17.0981245
366.525,13.429147
367.4893,10.8623035
368.4535,9.5979635
369.4177,8.9503415
370.382,8.2042455
371.3462,6.7560595
372.3104,5.0558885
373.2747,4.2414522
374.2389,4.1292487
375.2031,4.223851
376.1674,4.0099495
377.1316,3.348974
378.0958,2.9290795
379.0601,2.869063
380.0243,2.9306155
380.9885,2.958861
381.9528,3.045311
382.917,2.782596
383.8812,1.6323995
384.8455,0.46583015
385.8097,0.0679076
386.7739,0.95202425
387.7382,2.1138331
388.7024,2.69516925
389.6666,2.892423
390.6309,2.7775605
391.5951,2.4001145
392.5593,1.8116647
393.5236,1.5075389
394.4878,1.4264264
395.452,1.68750934
396.4163,2.61759415
397.3805,4.798088
398.3447,5.510924
399.309,4.0235375
400.2732,2.234448
401.2374,1.13025515
402.2017,0.90833605
403.1659,1.15155055
404.1301,2.1050232
405.0944,3.1055188
406.0586,3.60063465
407.0228,3.37268135
407.9871,3.0362771
408.9513,4.0039359
409.9155,5.57363
410.8798,6.8750715
411.844,7.458686
412.8082,7.394768
413.7725,7.500551
414.7367,7.9276545
415.7009,8.0783055
416.6652,7.5395835
417.6294,6.2849885
418.5936,5.436129
419.5579,5.680812
420.5221,5.8915285
421.4863,5.431412
422.4506,4.3196025
423.4148,3.4408325
424.379,4.133197
425.3433,5.21471885
426.3075,6.0603016
427.2717,6.5335956
428.236,6.7939585
429.2002,6.990544
430.1644,7.275997
431.1287,8.700543
432.0929,11.5385595
433.0571,15.635323
434.0214,20.4607255
434.9856,27.293965
435.9498,33.26797
436.9141,38.38301
437.8783,42.59863
438.8425,45.893735
439.8068,48.74329
440.771,49.381185
441.7352,46.548265
442.6995,41.30443
443.6637,35.20324
444.6279,29.46491
445.5922,24.41574
446.5564,20.018841
447.5206,16.288352
448.4849,13.388461
449.4491,11.5911495
450.4133,11.239624
451.3776,10.4951605
452.3418,8.952313
453.306,7.3984085
454.2703,6.7704635
455.2345,7.6838485
456.1987,8.109032
457.163,7.3694445
458.1272,6.2425145
459.0914,5.2482942
460.0557,4.6020429
461.0199,4.231788
461.9841,4.301546
462.9484,4.470941
463.9126,4.318112
464.8768,3.6372915
465.8411,2.6118115
466.8053,2.24032155
467.7695,2.381708
468.7338,2.728657
469.698,3.258769
470.6622,3.9939055
471.6265,4.455771
472.5907,4.4374525
473.5549,4.4138
474.5192,4.5997855
475.4834,4.8599005
476.4476,4.670476
477.4119,3.181259
478.3761,1.819973755
479.3403,1.27306685
480.3046,1.4143983
481.2688,1.7148988
482.233,1.4964605
483.1973,0.88191525
484.1615,0.3809142
485.1257,0.05980075
486.09,-0.07912215
487.0542,-0.0606491
488.0184,0.189307
488.9827,0.334577
489.9469,0.2828622
490.9111,0.17483975
491.8754,0.15388185
492.8396,0.24455415
493.8038,0.4159325
494.7681,0.7219634
495.7323,1.0954069
496.6965,1.481497
497.6608,1.8441985
498.625,2.1791765
499.5892,2.5561935
500.5535,2.854199
501.5177,2.9215485
502.4819,2.698761
503.4462,2.247562
504.4104,1.7362165
505.3746,1.0089765
506.3389,0.50446929
507.3031,0.5805588
508.2673,1.12924015
509.2316,1.22439135
510.1958,-0.09085315
511.16,-0.8768335
512.1243,-0.45571885
513.0885,0.7257567
514.0527,1.6690325
515.017,1.72208095
515.9812,1.19672405
516.9454,0.0253952
517.9097,-1.404457
518.8739,-2.388326
519.8381,-2.1530965
520.8024,-0.79723995
521.7666,-0.0558075
522.7308,0.0416748
523.6951,-0.1093485
524.6593,-0.1470115
525.6235,-0.0078555
526.5878,0.1501099
527.552,0.43090035
528.5162,0.631192
529.4805,0.5054675
530.4447,0.017018
531.4089,-0.275685
532.3732,0.450055
533.3374,1.16454615
534.3016,1.266739
535.2659,0.69323443
536.2301,-0.1962735
537.1943,-0.968405125
538.1586,-1.447136
539.1228,-1.1227525
540.087,0.11289367
541.0513,1.770398
542.0155,2.8717925
542.9797,3.1574295
543.944,3.22948907
544.9082,2.7907103
545.8724,2.39006935
546.8367,2.7889741
547.8009,4.5660655
548.7651,5.648331
549.7294,5.0598315
550.6936,3.755441
551.6578,2.1947065
552.6221,0.6660614
553.5863,-0.49226835
554.5505,-0.045694
555.5148,1.1118742
556.479,1.657753
557.4432,1.08109575
558.4075,-0.287936
559.3717,-1.0589855
560.3359,-0.94455095
561.3002,-0.7421079
562.2644,-0.4234222
