Raman.Shift,Starting Materials (007)
299.0287,0.13078572
299.9929,-0.12720868
300.9572,-0.628717906
301.9214,-0.64379248
302.8856,-0.15325112
303.8499,0.35257594
304.8141,0.68939272
305.7783,0.85690028
306.7426,0.89329312
307.7068,0.8074848
308.671,0.66447832
309.6353,0.427612308
310.5995,0.06651088
311.5637,-0.2094418
312.528,-0.1741377
313.4922,-0.07555018
314.4564,-0.072181598
315.4207,-0.247906562
316.3849,-0.5023352
317.3491,-0.6312826
318.3134,-0.702791734
319.2776,-0.81273414
320.2418,-1.03623314
321.2061,-1.39929436
322.1703,-1.1323636
323.1345,0.2394551
324.0988,1.65290802
325.063,2.23130676
326.0272,1.51191384
326.9915,1.00189826
327.9557,1.1277948
328.9199,1.49068816
329.8842,1.792860739
330.8484,1.8600652
331.8126,2.0343398
332.7769,2.73997086
333.7411,3.6436464
334.7053,4.3975134
335.6696,4.69441342
336.6338,4.56771666
337.598,4.3928976
338.5623,4.1556672
339.5265,4.03079238
340.4907,4.19415378
341.455,4.6911924
342.4192,5.5283378
343.3834,6.4225942
344.3477,7.7479798
345.3119,9.7554832
346.2761,12.3360816
347.2404,16.176808
348.2046,20.849282
349.1688,26.757876
350.1331,34.40324
351.0973,44.175394
352.0615,55.813748
353.0258,69.992392
353.99,85.058004
354.9542,98.431606
355.9185,107.51827
356.8827,111.333134
357.8469,107.864454
358.8112,96.397844
359.7754,81.189218
360.7396,66.475286
361.7039,51.545964
362.6681,39.50833
363.6323,30.189072
364.5966,22.983238
365.5608,17.689612
366.525,14.7136526
367.4893,12.592688
368.4535,10.3687846
369.4177,8.2883212
370.382,6.6641268
371.3462,5.7611134
372.3104,5.4182286
373.2747,5.07990622
374.2389,4.73449178
375.2031,4.303486
376.1674,3.6824922
377.1316,2.7453386
378.0958,2.14496696
379.0601,2.04313
380.0243,2.1151322
380.9885,2.01631546
381.9528,1.51549208
382.917,1.474857064
383.8812,2.45768044
384.8455,3.540941
385.8097,3.8919084
386.7739,2.9731842
387.7382,1.94173256
388.7024,1.9986233
389.6666,2.69413726
390.6309,3.612272106
391.5951,4.39904804
392.5593,4.98489434
393.5236,5.3198136
394.4878,5.433911
395.452,5.28357532
396.4163,4.7933952
397.3805,3.85928692
398.3447,3.23292328
399.309,2.82042792
400.2732,2.62053752
401.2374,2.71492548
402.2017,3.159315078
403.1659,3.3726436
404.1301,2.86010138
405.0944,2.32918046
406.0586,2.189139604
407.0228,2.636291094
407.9871,3.51155736
408.9513,4.93044944
409.9155,6.4046912
410.8798,7.1027356
411.844,6.60466062
412.8082,5.06005991
413.7725,4.60146026
414.7367,5.46854696
415.7009,6.336971
416.6652,6.646144
417.6294,6.3796988
418.5936,6.3188332
419.5579,6.9936798
420.5221,7.596451
421.4863,7.6188368
422.4506,7.059004
423.4148,6.59443326
424.379,7.0453741
425.3433,7.8936498
426.3075,8.920745
427.2717,10.0680492
428.236,11.3196614
429.2002,12.428631
430.1644,13.6068238
431.1287,16.3129614
432.0929,20.939824
433.0571,27.246912
434.0214,34.401222
434.9856,43.10991
435.9498,51.771788
436.9141,62.072502
437.8783,72.36042
438.8425,78.87399
439.8068,78.776814
440.771,75.182814
441.7352,68.17131
442.6995,59.061052
443.6637,49.388196
444.6279,40.276436
445.5922,32.456512
446.5564,26.472884
447.5206,22.140302
448.4849,18.842112
449.4491,15.8092018
450.4133,12.9534244
451.3776,10.7870628
452.3418,9.67094
453.306,8.9901384
454.2703,8.1319672
455.2345,6.9504736
456.1987,6.20161
457.163,6.0540616
458.1272,6.0343818
459.0914,5.8006
460.0557,5.2045326
461.0199,4.50961594
461.9841,3.853350964
462.9484,3.36060626
463.9126,3.1764314
464.8768,3.3740198
465.8411,3.9134328
466.8053,4.7513226
467.7695,5.8116192
468.7338,6.6786506
469.698,7.1904356
470.6622,7.3786802
471.6265,7.3900596
472.5907,7.078253
473.5549,6.7996582
474.5192,6.7050756
475.4834,6.6512704
476.4476,6.1736776
477.4119,4.56338838
478.3761,3.1163176
479.3403,2.4398331
480.3046,2.4026792
481.2688,2.47286686
482.233,1.87689588
483.1973,0.93221266
484.1615,0.8337387
485.1257,1.689138266
486.09,2.83074946
487.0542,3.1034366
488.0184,1.87543118
488.9827,0.99561814
489.9469,0.5041566
490.9111,0.26650788
491.8754,0.16854
492.8396,0.239968388
493.8038,0.34299952
494.7681,0.57245178
495.7323,0.81318526
496.6965,0.90904382
497.6608,0.768525
498.625,0.60777894
499.5892,0.7105957
500.5535,0.9588115
501.5177,1.3560926
502.4819,1.91647446
503.4462,2.60487622
504.4104,2.87290938
505.3746,2.55454192
506.3389,2.2016606
507.3031,1.93698648
508.2673,1.771400226
509.2316,1.74112072
510.1958,2.47339934
511.16,2.8214088
512.1243,2.25251672
513.0885,1.04080362
514.0527,-0.13988998
515.017,-0.879986
515.9812,-1.227442188
516.9454,-1.05243834
517.9097,-0.54574074
518.8739,-0.122922011
519.8381,-0.27473174
520.8024,-0.98056262
521.7666,-1.15632326
522.7308,-0.768822638
523.6951,-0.215445
524.6593,0.18368158
525.6235,0.45193084
526.5878,0.616634912
527.552,0.63713942
528.5162,0.6275924
529.4805,0.61672154
530.4447,0.59427508
531.4089,0.55347552
532.3732,0.620248
533.3374,0.55681264
534.3016,-0.055353716
535.2659,-1.07952206
536.2301,-1.83144962
537.1943,-0.842205262
538.1586,1.38641258
539.1228,2.85462494
540.087,3.22733756
541.0513,2.87687628
542.0155,2.63282514
542.9797,2.56417902
543.944,2.567109
544.9082,2.77944372
545.8724,3.08398212
546.8367,3.36659528
547.8009,3.632005366
548.7651,3.53306188
549.7294,2.752876956
550.6936,1.81853882
551.6578,1.165945738
552.6221,0.9890404
553.5863,1.00091622
554.5505,0.44817934
555.5148,-0.3147456
556.479,-0.61679558
557.4432,-0.17073492
558.4075,0.79014766
559.3717,1.12529368
560.3359,0.3437399
561.3002,-0.3175196
562.2644,-0.839963976
563.2286,-1.21452848
564.1929,-1.3329863
565.1571,-0.85271846
566.1213,-0.4088602
567.0856,-0.14238276
568.0498,-0.03465244
569.014,-0.122205804
569.9783,-0.479325466
570.9425,-0.91595384
571.9067,-1.13804474
572.871,-1.1436642
573.8352,-0.87411532
574.7994,-0.31996224
575.7637,0.4233878
576.7279,0.67548428
577.6921,0.25096742
578.6564,0.01452362
579.6206,0.4579706
580.5848,1.3999268
581.5491,1.8663324
582.5133,1.15464892
583.4775,0.38466886
584.4418,-0.3630237
585.406,-0.90332918
586.3702,-0.94211918
587.3345,-0.12063142
588.2987,0.80384918
589.2629,0.829912152
590.2272,0.32096704
591.1914,-0.11929966
592.1556,-0.0489952
593.1199,0.4471728
594.0841,0.41303658
595.0483,-0.21656664
596.0126,-0.75404002
596.9768,-0.859787738
597.941,-0.53854068
598.9053,-0.16558624
599.8695,0.307735
600.8337,0.6371332
601.798,0.692716998
602.7622,0.54500844
603.7264,0.3977408
604.6907,0.53627722
605.6549,0.555316692
606.6191,-0.30214154
607.5834,-1.52740584
608.5476,-2.21900974
609.5118,-1.69994624
610.4761,-0.22591306
611.4403,0.1325594
612.4045,-0.573576878
613.3688,-1.20388006
614.333,-1.17933308
615.2972,-0.553435288
616.2615,-0.085271002
617.2257,-0.09441784
618.1899,0.03178326
619.1542,0.58655722
620.1184,1.33868652
621.0826,1.83910782
622.0469,1.77516766
623.0111,1.45111232
623.9753,1.06988618
624.9396,0.73280742
625.9038,0.5619557
626.868,0.63619406
627.8323,0.91352328
628.7965,1.33830876
629.7607,1.899593
630.725,2.2008701
631.6892,2.02313666
632.6534,1.46996692
633.6177,1.09294454
634.5819,0.906005484
635.5461,0.79715582
636.5104,0.801289234
637.4746,0.88204598
638.4388,1.02279856
639.4031,1.285784848
640.3673,1.4185204
641.3315,0.94157328
642.2958,0.30006216
643.26,0.19537698
644.2242,0.988380388
645.1885,2.2589164
646.1527,2.1635148
647.1169,0.764754216
648.0812,-0.354409486
649.0454,-0.75653345
650.0096,-0.564259
650.9739,-0.14800638
651.9381,1.037212254
652.9023,1.719383
653.8666,1.36610886
654.8308,0.65688942
655.795,0.34733442
656.7593,0.76660666
657.7235,1.25823968
658.6877,1.3533749
659.652,1.2728183
660.6162,1.1583566
661.5804,1.06139216
662.5447,0.934500669
663.5089,0.63604184
664.4731,0.16257772
665.4374,0.0221401
666.4016,0.4262822
667.3658,1.02676482
668.3301,1.215685
669.2943,0.7769084
670.2585,0.44262306
671.2228,0.1411912
672.187,-0.0264252
673.1512,0.16946762
674.1155,0.75093102
675.0797,1.15894668
676.0439,0.61294606
677.0082,-0.12202818
677.9724,-0.64845386
678.9366,-0.87052272
679.9009,-0.82100352
680.8651,-0.52990119
681.8293,-0.00450166
682.7936,0.52119868
683.7578,1.198534872
684.722,1.66919712
685.6863,1.49879278
686.6505,0.54369482
687.6147,-0.07165904
688.579,-0.431961956
689.5432,-0.41451106
690.5074,0.42366804
691.4717,1.771451884
692.4359,2.72809462
693.4001,2.5511596
694.3644,1.91400414
695.3286,1.305088
696.2928,0.82126078
697.2571,0.61975304
698.2213,0.81107138
699.1855,1.30241774
700.1498,1.5499441
701.114,1.62331702
702.0782,1.68640628
703.0425,1.800560626
704.0067,1.95241982
704.9709,2.076022938
705.9352,2.08570558
706.8994,1.969356548
707.8636,1.77240668
708.8279,1.541379072
709.7921,1.24519296
710.7563,0.85324922
711.7206,0.65793728
712.6848,1.3809261
713.649,2.2882608
714.6133,2.41724318
715.5775,1.5339498
716.5417,0.25331736
717.506,-0.067300389
718.4702,1.116952976
719.4344,1.448337642
720.3987,0.13146454
721.3629,-1.4211312
722.3271,-1.67644528
723.2914,-0.33252304
724.2556,0.73042334
725.2198,1.1256179
726.1841,1.16126216
727.1483,0.75785034
728.1125,0.14861414
729.0768,-0.1361986
730.041,0.49290864
731.0052,1.3786469
731.9695,1.6267656
732.9337,1.32802282
733.8979,0.68314746
734.8622,-0.19533748
735.8264,-1.3182747
736.7906,-1.43406854
737.7549,0.542371004
738.7191,1.8163941
739.6833,1.23349894
740.6476,-0.53834382
741.6118,-1.675763228
742.576,-1.54164708
743.5403,-1.05772244
744.5045,-0.174449474
745.4688,0.65880882
746.433,0.77051458
747.3972,-0.102196891
748.3615,-1.2623807
749.3257,-1.09532232
750.2899,-0.13652456
751.2542,0.315727246
752.2184,-0.02868072
753.1826,-0.69694266
754.1469,-0.89815246
755.1111,-0.563061758
756.0753,-0.123744508
757.0396,0.86565288
758.0038,1.572588
758.968,1.19198434
759.9323,-0.185608914
760.8965,-1.04983308
761.8607,0.09335266
762.825,1.24185878
763.7892,1.221292
764.7534,0.4156806
765.7177,-0.34700966
766.6819,-0.42317238
767.6461,0.06613604
768.6104,0.883928606
769.5746,1.993261
770.5388,2.56541404
771.5031,1.98540506
772.4673,0.59475688
773.4315,-0.11326936
774.3958,0.43158218
775.36,0.8585528
776.3242,1.16540474
777.2885,1.31104988
778.2527,1.10441048
779.2169,0.460807
780.1812,-0.140938052
781.1454,0.05090602
782.1096,0.45269824
783.0739,0.561356842
784.0381,0.35173457
785.0023,0.11055488
785.9666,0.20607374
786.9308,0.66718262
787.895,1.2081474
788.8593,2.01392238
789.8235,2.5517122
790.7877,2.370313
791.752,1.58318358
792.7162,1.123702812
793.6804,1.46455148
794.6447,1.7087673
795.6089,1.40719962
796.5731,0.94532312
797.5374,0.92136578
798.5016,1.64902348
799.4658,2.6058576
800.4301,2.7884559
801.3943,2.50083616
802.3585,2.176889
803.3228,1.95851248
804.287,1.7781503
805.2512,1.47732354
806.2155,0.9684631
807.1797,0.7867751
808.1439,0.8262667
809.1082,1.04955568
810.0724,1.60126718
811.0366,2.43077366
812.0009,3.03446898
812.9651,2.975550738
813.9293,3.08826156
814.8936,3.926306828
815.8578,5.0514362
816.822,5.793141
817.7863,5.7452182
818.7505,5.141955
819.7147,4.5308382
820.679,3.9879422
821.6432,3.9827846
822.6074,4.93351224
823.5717,6.1543578
824.5359,6.1871762
825.5001,4.18271148
826.4644,3.05597176
827.4286,3.20636492
828.3928,3.71244626
829.3571,4.35579388
830.3213,4.99829464
831.2855,5.2911384
832.2498,4.783536
833.214,4.0552948
834.1782,3.739784
835.1425,3.6943342
836.1067,3.6540239
837.0709,3.46740454
838.0352,3.1948536
838.9994,2.9155756
839.9636,2.44783462
840.9279,2.24178334
841.8921,2.5326766
842.8563,2.9728716
843.8206,3.1859952
844.7848,3.19883268
845.749,3.03607392
846.7133,2.30147654
847.6775,1.67485972
848.6417,1.62234288
849.606,2.0213689
850.5702,2.45382686
851.5344,2.62952584
852.4987,2.53827904
853.4629,1.95222864
854.4271,0.98457644
855.3914,0.27446126
856.3556,0.18017882
857.3198,0.580926
858.2841,0.9807049
859.2483,1.34194524
860.2125,1.63973142
861.1768,1.89824906
862.141,2.182124414
863.1052,2.68514498
864.0695,3.3547876
865.0337,3.523982
865.9979,2.28997926
866.9622,0.80353772
867.9264,-0.18128406
868.8906,-0.633200404
869.8549,-0.62199816
870.8191,-0.22231828
871.7833,0.46636026
872.7476,1.02172034
873.7118,1.42883832
874.676,1.74226586
875.6403,2.09003804
876.6045,2.32091936
877.5687,2.0945278
878.533,1.2004232
879.4972,0.5934132
880.4614,0.60033062
881.4257,0.8296396
882.3899,1.32465664
883.3541,1.89525152
884.3184,2.0834387
885.2826,1.4370192
886.2468,0.44786952
887.2111,0.45034574
888.1753,1.14827334
889.1395,1.5379131
890.1038,1.120515838
891.068,0.15402266
892.0322,-0.5900174
892.9965,-1.02147246
893.9607,-1.11389946
894.9249,-0.76882908
895.8892,-0.30323478
896.8534,0.12786044
897.8176,0.45655479
898.7819,0.590694948
899.7461,0.42918214
900.7103,0.11379754
901.6746,-0.176765514
902.6388,-0.39425562
903.603,-0.567275638
904.5673,-0.74827472
905.5315,-0.96772307
906.4957,-1.1994963
907.46,-1.53455934
908.4242,-1.75835372
909.3884,-1.67879948
910.3527,-1.42486038
911.3169,-1.10337314
912.2811,-0.72046292
913.2454,-0.3577282
914.2096,0.14853172
915.1738,0.275834604
916.1381,-0.632978602
917.1023,-1.9215426
918.0665,-2.58441188
919.0308,-2.11034076
919.995,-1.068175194
920.9592,-0.3890058
921.9235,0.0228042
922.8877,0.27817416
923.8519,0.297000984
924.8162,0.212469426
925.7804,0.32041774
926.7446,0.7825162
927.7089,0.8682008
928.6731,0.0459756
929.6373,-0.4971434
930.6016,-0.59234738
931.5658,-0.3845389
932.53,0.117267789
933.4943,1.02276044
934.4585,1.83792788
935.4227,2.16553672
936.387,1.986432004
937.3512,0.77101286
938.3154,-1.286708988
939.2797,-3.01310822
940.2439,-3.12146472
941.2081,-1.60795316
942.1724,-0.49623284
943.1366,0.12914144
944.1008,0.4654077
945.0651,0.55501832
946.0293,0.46649778
946.9935,0.17615012
947.9578,-0.41183062
948.922,-0.764213
949.8862,-0.32374358
950.8505,0.183399596
951.8147,0.25761326
952.7789,-0.02943814
953.7432,-0.248278556
954.7074,-0.02138466
955.6716,0.48488522
956.6359,0.270248476
957.6001,-0.75313508
958.5643,-1.3858594
959.5286,-1.05887114
960.4928,-0.27704806
961.457,0.07720232
962.4213,-0.18718994
963.3855,-0.13216674
964.3497,0.96642442
965.314,1.9348466
966.2782,1.79942948
967.2424,1.30272668
968.2067,1.69984679
969.1709,3.650605848
970.1351,6.86662912
971.0994,11.9676692
972.0636,17.9465516
973.0278,22.4887108
973.9921,25.2298856
974.9563,26.4217982
975.9205,26.1601882
976.8848,24.2311036
977.849,21.3176304
978.8132,16.231032
979.7775,11.6080042
980.7417,7.96421514
981.7059,5.3070519
982.6702,3.62284546
983.6344,2.87112152
984.5986,2.600347351
985.5629,2.84817324
986.5271,3.19673984
987.4913,2.99531538
988.4556,2.34557534
989.4198,1.90788088
990.384,2.2459232
991.3483,3.19735634
992.3125,3.719871458
993.2767,3.41398242
994.241,3.47995866
995.2052,3.920711784
996.1694,4.6359644
997.1337,5.3442242
998.0979,6.098527552
999.0621,7.6901678
1000.026,9.0801084
1000.991,13.7720294
1001.955,22.3961826
1002.919,35.816186
1003.883,56.775978
1004.848,85.926732
1005.812,119.417896
1006.776,150.719536
1007.74,180.504012
1008.704,194.017992
1009.669,188.342362
1010.633,171.043984
1011.597,140.905792
1012.561,101.797864
1013.526,69.325484
1014.49,46.966292
1015.454,31.348042
1016.418,22.0161342
1017.383,16.2266692
1018.347,12.4219844
1019.311,9.8437506
1020.275,8.116935
1021.24,6.912601
1022.204,6.122275798
1023.168,5.4105472
1024.132,4.771851
1025.096,4.0749606
1026.061,3.127297154
1027.025,2.2154804
1027.989,2.0012494
1028.953,2.8178914
1029.918,3.26681026
1030.882,2.34411194
1031.846,1.41557872
1032.81,1.15687058
1033.775,1.307940552
1034.739,1.3171124
1035.703,0.95825028
1036.667,0.63617764
1037.631,1.01748004
1038.596,1.77597472
1039.56,2.0516804
1040.524,1.7712685
1041.488,1.3380506
1042.453,1.09463342
1043.417,1.00805142
1044.381,0.69318502
1045.345,-0.40679446
1046.31,-0.80837506
1047.274,0.253942072
1048.238,1.48620646
1049.202,1.8931225
1050.167,1.4814551
1051.131,0.951353532
1052.095,0.77627326
1053.059,0.79898532
1054.023,0.52568924
1054.988,0.0960365
1055.952,0.1401181
1056.916,0.96128584
1057.88,2.0316446
1058.845,2.4518466
1059.809,2.10924898
1060.773,1.6243366
1061.737,0.52737086
1062.702,-0.258895106
1063.666,-0.21736252
1064.63,0.20756074
1065.594,0.40973736
1066.558,0.21775078
1067.523,-0.09564766
1068.487,-0.4217976
1069.451,-0.72624678
1070.415,-0.86341291
1071.38,-0.80186996
1072.344,-0.62191474
1073.308,-0.391389164
1074.272,-0.07000186
1075.237,0.5072093
1076.201,1.5405325
1077.165,2.3192958
1078.129,2.92033634
1079.094,3.20925442
1080.058,3.0253192
1081.022,2.42837244
1081.986,1.577535263
1082.95,0.53965216
1083.915,-0.408482058
1084.879,-1.4278759
1085.843,-2.0851928
1086.807,-1.49004596
1087.772,0.18201318
1088.736,1.65624768
1089.7,1.8061325
1090.664,0.8943685
1091.629,0.52438618
1092.593,1.217640752
1093.557,1.50142354
1094.521,1.02076152
1095.485,0.57217772
1096.45,0.93153382
1097.414,1.87053962
1098.378,2.206175
1099.342,1.147749304
1100.307,0.05221478
