Raman_Shift_cm-1,AFG_Expt05_SM_Avg
99.43237,0
100.3966,0.373830325
101.3608,-0.135213263
102.3251,-0.2228381
103.2893,0.9303277
104.2535,2.28438429
105.2178,3.0555476
106.182,2.501928325
107.1462,1.13247085
108.1105,0.330180525
109.0747,-0.005887925
110.0389,-0.085533
111.0032,-0.322145825
111.9674,-0.8133544
112.9316,-1.0929945
113.8959,-1.10693595
114.8601,-0.867632325
115.8243,-0.4699942
116.7886,0.378526285
117.7528,1.101200125
118.717,1.523005
119.6813,1.590292075
120.6455,1.508125225
121.6097,1.32548154
122.574,1.097780975
123.5382,0.825422025
124.5024,0.4890453
125.4667,0.201090875
126.4309,0.12440305
127.3951,0.220939975
128.3594,0.4267625
129.3236,0.63268555
130.2878,0.837643
131.2521,1.165392625
132.2163,1.745747425
133.1805,2.45259675
134.1448,2.54668495
135.109,1.3178543
136.0732,0.310166618
137.0375,-0.097282758
138.0017,0.15272217
138.9659,0.449845
139.9302,0.571801575
140.8944,0.594358718
141.8586,0.51723975
142.8229,0.3378377
143.7871,0.21947105
144.7513,0.4130058
145.7156,0.775385018
146.6798,1.149518525
147.644,1.34527875
148.6083,1.28135375
149.5725,0.973202
150.5367,0.33736446
151.501,-0.417287825
152.4652,-0.704687525
153.4294,0.301191658
154.3937,0.934753875
155.3579,0.924771
156.3221,0.344995985
157.2864,-0.155184675
158.2506,-0.392717425
159.2148,-0.552358225
160.1791,-0.672534
161.1433,-0.764572075
162.1075,-0.784433675
163.0718,-0.6094354
164.036,-0.36133385
165.0002,-0.195496343
165.9645,-0.245739725
166.9287,-0.4626007
167.8929,-0.251334725
168.8572,0.38405725
169.8214,1.1270549
170.7856,1.5438717
171.7499,1.39832685
172.7141,1.204925173
173.6783,0.89193805
174.6426,0.518865256
175.6068,0.233087925
176.571,0.29777872
177.5353,0.3054093
178.4995,0.0734604
179.4637,-0.365967575
180.428,-0.787015925
181.3922,-0.813234775
182.3564,-0.71948975
183.3207,-0.62352425
184.2849,-0.5796585
185.2491,-0.566184825
186.2134,-0.5251527
187.1776,-0.48297425
188.1418,-0.456800875
189.1061,-0.4602401
190.0703,-0.502335008
191.0345,-0.538125325
191.9988,-0.715605455
192.963,-0.768180475
193.9272,-0.440158225
194.8915,0.496575925
195.8557,1.49297905
196.8199,2.32853305
197.7842,3.14635975
198.7484,4.1950525
199.7126,5.9896025
200.6769,7.685976
201.6411,8.80160225
202.6053,9.26106175
203.5696,9.03403925
204.5338,7.7892775
205.498,5.80347825
206.4623,4.19062525
207.4265,3.17244525
208.3907,2.747230325
209.355,2.915957
210.3192,4.10058925
211.2834,5.32328025
212.2477,6.366271
213.2119,7.2239595
214.1761,7.8255335
215.1404,8.183365
216.1046,8.349923
217.0688,8.13581825
218.0331,7.40113175
218.9973,7.0536535
219.9615,8.1191755
220.9258,9.84147175
221.89,11.71749325
222.8542,13.30558
223.8185,14.4813625
224.7827,14.9319975
225.7469,14.6763525
226.7112,13.8637625
227.6754,12.7175725
228.6396,11.225945
229.6039,9.2526235
230.5681,6.27569125
231.5323,2.98921175
232.4966,0.6603953
233.4608,0.15826185
234.425,0.06997915
235.3893,0.386775
236.3535,0.885109375
237.3177,1.201387775
238.282,0.7039662
239.2462,0.08084378
240.2104,-0.191945025
241.1747,-0.0562538
242.1389,0.30203335
243.1031,0.281833625
244.0674,-0.033447675
245.0316,-0.21169435
245.9958,-0.050853
246.9601,0.47948965
247.9243,0.761594175
248.8885,0.714387125
249.8528,0.561294225
250.817,0.24827275
251.7813,-0.320872825
252.7455,-0.49719455
253.7097,0.367153825
254.674,1.2705746
255.6382,1.611105525
256.6024,1.042099525
257.5667,0.114577475
258.5309,-0.68103425
259.4951,-1.254726725
260.4594,-1.39505241
261.4236,-0.915676975
262.3878,0.0379219
263.3521,0.035842125
264.3163,-0.99313825
265.2805,-2.079877
266.2448,-1.9178745
267.209,0.953113175
268.1732,2.64395125
269.1375,2.6781535
270.1017,1.7954895
271.0659,0.92453765
272.0302,0.2095262
272.9944,-0.156745175
273.9586,0.1807635
274.9229,0.837194
275.8871,1.17862825
276.8513,0.2393992
277.8156,-1.0128252
278.7798,-1.372639625
279.744,-0.881553925
280.7083,-0.02173325
281.6725,0.09834265
282.6367,-0.60424615
283.601,-1.0958863
284.5652,-1.23712055
285.5294,-1.077967325
286.4937,-0.840449575
287.4579,-0.224564775
288.4221,0.170472775
289.3864,0.134625325
290.3506,-0.280315725
291.3148,-0.64849885
292.2791,-0.5844433
293.2433,-0.518248728
294.2075,-0.691518875
295.1718,-1.1030325
296.136,-1.49190325
297.1002,-1.17293125
298.0645,-0.6178851
299.0287,-0.25062938
299.9929,-0.241361233
300.9572,-0.530821705
301.9214,-0.724664273
302.8856,-0.907094285
303.8499,-0.9223659
304.8141,-0.58482528
305.7783,0.20798065
306.7426,0.660919175
307.7068,0.547621
308.671,0.358598675
309.6353,0.3149643
310.5995,0.48356628
311.5637,0.6145641
312.528,0.468450125
313.4922,0.251881375
314.4564,0.168239569
315.4207,0.3298875
316.3849,0.542345
317.3491,0.050997925
318.3134,-0.863088893
319.2776,-1.5171406
320.2418,-1.352504175
321.2061,-0.1596147
322.1703,0.48351775
323.1345,0.295911025
324.0988,-0.02145465
325.063,0.02716445
326.0272,0.57279635
326.9915,0.9476296
327.9557,1.1567962
328.9199,1.211836075
329.8842,1.0524675
330.8484,0.5937697
331.8126,0.212905825
332.7769,0.3033821
333.7411,0.61489565
334.7053,0.88985556
335.6696,0.903724725
336.6338,0.69376909
337.598,0.4842151
338.5623,0.25528145
339.5265,0.2906687
340.4907,0.948301825
341.455,2.64526025
342.4192,3.8760985
343.3834,4.41847775
344.3477,4.7542105
345.3119,5.20799975
346.2761,5.64568875
347.2404,6.7537335
348.2046,8.3737945
349.1688,10.7204825
350.1331,14.0503625
351.0973,18.5703125
352.0615,24.1488875
353.0258,31.35786
353.99,39.0886375
354.9542,45.4290025
355.9185,48.4099825
356.8827,47.474855
357.8469,44.6178175
358.8112,39.7485725
359.7754,33.8110325
360.7396,27.6753725
361.7039,20.836685
362.6681,15.2264625
363.6323,10.65254875
364.5966,7.03314575
365.5608,4.4104095
366.525,2.954033678
367.4893,2.2650154
368.4535,2.313576575
369.4177,2.64893625
370.382,2.7980505
371.3462,2.368142275
372.3104,1.6259395
373.2747,1.2940486
374.2389,1.28111245
375.2031,1.317158625
376.1674,1.1121971
377.1316,0.54192645
378.0958,0.25023195
379.0601,0.4887719
380.0243,0.788504725
380.9885,0.64520675
381.9528,-0.299131525
382.917,-0.7596253
383.8812,-0.291464818
384.8455,0.45045555
385.8097,0.981379
386.7739,1.05316625
387.7382,0.9204049
388.7024,0.78529165
389.6666,0.724190603
390.6309,0.84502505
391.5951,1.211608975
392.5593,1.71888675
393.5236,1.832071775
394.4878,1.57762385
395.452,1.2219155
396.4163,1.004916325
397.3805,1.048026225
398.3447,0.936893475
399.309,0.41882565
400.2732,-0.01492195
401.2374,-0.040412302
402.2017,0.445855
403.1659,0.894191725
404.1301,1.137188925
405.0944,1.26927805
406.0586,1.288006725
407.0228,1.205822895
407.9871,1.131549
408.9513,1.253069225
409.9155,1.4780035
410.8798,1.7520125
411.844,2.05724975
412.8082,2.40767135
413.7725,2.6990953
414.7367,2.825955
415.7009,3.0269715
416.6652,3.56285175
417.6294,4.46469425
418.5936,4.8273415
419.5579,4.092131
420.5221,3.359503
421.4863,2.921591
422.4506,2.79957375
423.4148,2.772820275
424.379,2.70106585
425.3433,2.666759275
426.3075,2.5676965
427.2717,2.48730925
428.236,2.6756235
429.2002,3.7788085
430.1644,5.7354125
431.1287,8.04668025
432.0929,10.6261785
433.0571,13.488815
434.0214,16.7341875
434.9856,20.96552
435.9498,24.7757125
436.9141,28.4133075
437.8783,31.641585
438.8425,33.9590875
439.8068,35.3843475
440.771,35.031995
441.7352,32.014345
442.6995,27.2219575
443.6637,21.886995
444.6279,16.9117525
445.5922,12.825435
446.5564,10.1125715
447.5206,8.61962175
448.4849,7.83041975
