Raman_Shift_cm-1,Mud_Tank_SM
299.2819,-0.3787704
300.2461,-0.9320633
301.2103,-1.278049
302.1746,-1.424033
303.1388,-1.435866
304.103,-1.270924
305.0673,-0.8750107
306.0315,-0.6305466
306.9957,-0.8568756
307.96,-1.026349
308.9242,-0.7605713
309.8884,0.1052902
310.8527,0.8698517
311.8169,0.8730332
312.7811,0.5637406
313.7454,0.2225708
314.7096,0.03809204
315.6738,-0.03083954
316.6381,-0.2557144
317.6023,-0.551593
318.5665,-0.5520691
319.5308,0.05297089
320.495,1.428976
321.4592,2.566939
322.4235,3.62561
323.3877,4.423126
324.3519,4.665285
325.3162,3.957112
326.2804,3.900522
327.2446,5.165013
328.2089,6.76026
329.1731,7.919536
330.1373,8.160273
331.1016,8.188998
332.0658,8.521611
333.03,9.18998
333.9943,10.40049
334.9585,12.34278
335.9227,14.78351
336.887,15.90111
337.8512,15.70911
338.8154,15.68
339.7797,17.42437
340.7439,21.83437
341.7081,25.99986
342.6724,29.23729
343.6366,32.76574
344.6008,37.44945
345.5651,43.11546
346.5293,51.05745
347.4935,58.9661
348.4578,69.72206
349.422,83.06561
350.3862,96.28375
351.3505,125.3033
352.3147,168.4267
353.2789,235.7715
354.2432,356.1765
355.2074,559.3488
356.1716,846.665
357.1359,1049.195
358.1001,1182.056
359.0643,1226.177
360.0286,1143.216
360.9928,844.0117
361.957,601.6107
362.9213,423.6208
363.8855,292.4729
364.8497,198.0536
365.814,145.148
366.7782,112.5675
367.7424,89.88252
368.7067,73.59209
369.6709,61.00473
370.6351,50.14921
371.5994,41.44167
372.5636,34.79568
373.5278,29.91529
374.4921,26.69226
375.4563,25.04348
376.4205,25.32902
377.3848,24.14285
378.349,20.47311
379.3132,16.76252
380.2775,15.40317
381.2417,17.69298
382.2059,18.88971
383.1702,17.79728
384.1344,16.15398
385.0986,15.23452
386.0629,15.66606
387.0271,16.41415
387.9913,15.73459
388.9556,15.17288
389.9198,16.29632
390.884,20.15856
391.8483,26.15835
392.8125,32.973
393.7767,40.17094
394.741,44.98921
395.7052,45.17363
396.6694,39.89046
397.6337,34.61872
398.5979,28.2975
399.5621,22.94285
400.5264,19.98492
401.4906,19.89529
402.4548,19.76297
403.4191,18.73409
404.3833,17.39778
405.3475,15.76033
406.3118,13.92077
407.276,12.53903
408.2402,12.64781
409.2045,13.57274
410.1687,14.97641
411.1329,16.66034
412.0972,18.53778
413.0614,20.18515
414.0256,21.67494
414.9899,22.89908
415.9541,23.59484
416.9183,23.75115
417.8826,24.61258
418.8468,26.75931
419.811,28.94617
420.7753,31.01284
421.7395,32.90232
422.7037,34.47823
423.668,34.08788
424.6322,34.73465
425.5964,37.91678
426.5607,43.55347
427.5249,50.28741
428.4891,55.32744
429.4534,60.8793
430.4176,69.7691
431.3818,82.6964
432.3461,100.8389
433.3103,127.3572
434.2745,156.2796
435.2388,214.0362
436.203,307.0064
437.1672,427.9909
438.1315,570.2418
439.0957,790.8152
440.0599,940.3668
441.0242,987.157
441.9884,953.479
442.9526,860.476
443.9169,696.4867
444.8811,523.6813
445.8453,394.2283
446.8096,301.4482
447.7738,234.2531
448.738,182.8098
449.7023,147.9509
450.6665,122.2798
451.6307,105.5414
452.595,93.65691
453.5592,83.38018
454.5234,75.144
455.4877,67.54572
456.4519,60.33295
457.4161,53.89302
458.3804,48.54363
459.3446,44.33764
460.3088,40.76008
461.2731,37.54991
462.2373,34.77199
463.2015,32.68973
464.1658,31.29544
465.13,30.15756
466.0942,28.14778
467.0585,25.75906
468.0227,23.6411
468.9869,22.05183
469.9512,21.01543
470.9154,20.68332
471.8796,21.78412
472.8439,22.2142
473.8081,21.38518
474.7723,19.51878
475.7366,17.51787
476.7008,15.13613
477.665,13.16377
478.6293,11.87235
479.5935,11.10491
480.5577,10.5558
481.522,10.059
482.4862,9.519066
483.4504,8.630066
484.4147,7.666362
485.3789,7.254956
486.3431,8.128189
487.3074,10.1815
488.2716,10.71878
489.2358,9.54777
490.2001,7.943825
491.1643,7.209798
492.1285,7.841022
493.0928,7.85919
494.057,6.994844
495.0212,5.944919
495.9855,4.994766
496.9497,4.198367
497.9139,3.739423
498.8782,3.834656
499.8424,4.189618
500.8066,4.850702
501.7709,5.722977
502.7351,6.480336
503.6993,6.160866
504.6636,5.284068
505.6278,5.160352
506.592,6.143433
507.5563,7.719012
508.5205,8.320433
509.4847,7.098887
510.449,6.077966
511.4132,5.352568
512.3774,4.822356
513.3417,4.301066
514.3059,3.675513
515.2701,3.164479
516.2344,2.768164
517.1986,2.53918
518.1628,2.63575
519.1271,3.227457
520.0913,3.813017
521.0555,3.475337
522.0198,2.657425
522.984,2.049736
523.9482,2.108875
524.9125,2.756412
525.8767,2.911694
526.8409,2.553574
527.8052,2.115538
528.7694,1.734575
529.7336,1.414005
530.6979,1.174475
531.6621,0.889949
532.6263,0.8177231
533.5906,1.123048
534.5548,1.704108
535.519,2.291846
536.4833,2.700113
537.4475,3.079877
538.4117,3.600089
539.376,4.187666
540.3402,4.701813
541.3044,4.989146
542.2687,5.010579
543.2329,4.679235
544.1971,3.92446
545.1614,3.362193
546.1256,3.733545
547.0898,5.515964
548.0541,6.357255
549.0183,5.808435
549.9825,5.077237
550.9468,4.778627
551.911,4.960806
552.8752,4.976714
553.8395,4.328491
554.8037,3.45377
555.7679,2.235019
556.7322,0.8912171
557.6964,-0.03809509
558.6606,0.3952805
559.6249,1.717822
560.5891,2.291582
561.5533,2.003073
562.5176,1.324068
563.4818,0.9526672
564.446,1.043954
565.4103,1.047052
566.3745,0.9063568
567.3387,0.7486435
568.303,0.7255844
569.2672,0.9099426
570.2314,0.8917267
571.1957,0.394577
572.1599,-0.2333008
573.1241,-0.8901291
574.0884,-1.499966
575.0526,-1.973653
576.0168,-2.072217
576.9811,-1.977543
577.9453,-1.996207
578.9095,-2.164092
579.8738,-2.30165
580.838,-2.051385
581.8022,-1.169324
582.7665,-0.5539306
583.7307,-0.4028488
584.6949,-0.3835495
585.6592,0.007087708
586.6234,1.16167
587.5876,1.487979
588.5519,-0.01900482
589.5161,-1.720308
590.4803,-2.520477
591.4446,-2.123257
592.4088,-1.347133
593.373,-1.026604
594.3373,-0.9790481
595.3015,-1.197235
596.2657,-1.61922
597.23,-2.070241
598.1942,-2.194087
599.1584,-1.897154
600.1227,-1.405513
601.0869,-0.469902
602.0511,0.4976227
603.0154,0.9422424
603.9796,0.7165634
604.9438,0.202327
605.9081,-0.858786
606.8723,-1.823462
607.8365,-2.191341
608.8008,-1.841547
609.765,-1.307414
610.7292,-1.044859
611.6935,-0.9428436
612.6577,-1.032713
613.6219,-1.249095
614.5862,-1.378742
615.5504,-0.9925812
616.5146,0.004425049
617.4789,0.4647781
618.4431,0.1188583
619.4073,-0.5241669
620.3716,-0.7903274
621.3358,-0.5686477
622.3,-0.2049667
623.2643,0.5250519
624.2285,1.168794
625.1927,1.494377
626.157,1.433582
627.1212,1.026659
628.0854,-0.4570084
629.0497,-1.784582
630.0139,-1.982273
630.9781,-1.08828
631.9424,0.1936386
632.9066,0.8910583
633.8708,0.9415329
634.8351,0.7959793
635.7993,0.3448914
636.7635,-0.000549316
637.7278,0.2383469
638.692,1.210811
639.6563,2.315927
640.6205,4.02772
641.5847,5.349373
642.549,5.75054
643.5132,5.223874
644.4774,4.261594
645.4417,2.590593
646.4059,1.128984
647.3701,0.6980011
648.3344,1.000697
649.2986,1.146558
650.2628,0.1228699
651.2271,-1.765607
652.1913,-2.228378
653.1555,-1.234128
654.1198,-0.1408173
655.084,-0.05668182
656.0482,-1.126498
657.0125,-1.833836
657.9767,-2.257376
658.9409,-2.269137
659.9052,-1.503876
660.8694,-0.2604233
661.8336,0.6020905
662.7979,0.4065475
663.7621,0.0674942
664.7263,0.1971008
665.6906,0.5895126
666.6548,0.9577133
667.619,1.085428
668.5833,0.9417114
669.5475,0.2559509
670.5117,-0.8470963
671.476,-1.741195
672.4402,-2.157309
673.4044,-2.136744
674.3687,-1.87
675.3329,-0.6254807
676.2971,-0.06169434
677.2614,-0.8777428
678.2256,-2.177956
679.1898,-2.668187
680.1541,-1.673714
681.1183,-0.6879532
682.0825,-0.8853248
683.0468,-1.469242
684.011,-1.773445
684.9752,-1.527322
685.9395,-0.9540863
686.9037,-0.4568314
687.8679,-0.02571259
688.8322,0.3332794
689.7964,0.619783
690.7606,0.8068894
691.7249,0.8281723
692.6891,0.5182129
693.6533,0.3891144
694.6176,0.4909805
695.5818,0.7535232
696.546,1.248634
697.5103,1.94561
698.4745,2.410663
699.4387,1.791322
700.403,1.238277
701.3672,1.735297
702.3314,3.006427
703.2957,4.028978
704.2599,3.615681
705.2241,1.99808
706.1884,1.208377
707.1526,1.245671
708.1168,1.588719
709.0811,2.064206
710.0453,2.719055
711.0095,2.616271
711.9738,0.7123429
712.938,-0.7457924
713.9022,-1.161523
714.8665,-0.824736
715.8307,-0.3446732
716.7949,0.03119507
717.7592,0.4617355
718.7234,1.383076
719.6876,2.295888
720.6519,2.485915
721.6161,1.6464
722.5803,0.2270279
723.5446,-0.5408462
724.5088,-0.6745033
725.473,-0.6881439
726.4373,-0.6014732
727.4015,-0.4876228
728.3657,-0.5246826
729.33,-0.9089928
730.2942,-0.9539253
731.2584,-0.1727531
732.2227,0.5145508
733.1869,0.337645
734.1511,-0.7348175
735.1154,-1.723499
736.0796,-1.666014
737.0438,-1.272785
738.0081,-0.994188
738.9723,-0.9109077
739.9365,-1.076949
740.9008,-1.561041
741.865,-2.329173
742.8292,-2.53326
743.7935,-2.08487
744.7577,-1.593742
745.7219,-1.403446
746.6862,-1.460401
747.6504,-1.347167
748.6146,-0.8894531
749.5789,-0.4227455
750.5431,0.2389328
