Raman_Shift_cm-1,Norway_2-2_Avg
99.44398,65.40794667
100.4082,64.19267333
101.3724,50.07811
102.3367,39.14969
103.3009,37.15306
104.2651,41.86665
105.2294,46.84140667
106.1936,41.80407333
107.1578,35.10175667
108.1221,31.845182
109.0863,33.63077667
110.0505,38.42729667
111.0148,36.60489667
111.979,29.837955
112.9432,22.151366
113.9075,16.602328
114.8717,13.89739567
115.8359,13.92625367
116.8002,18.578238
117.7644,25.27856567
118.7286,30.85143233
119.6929,34.96795
120.6571,35.19476
121.6214,29.33956667
122.5856,18.98941933
123.5498,7.924739667
124.5141,-1.543833333
125.4783,-8.0632
126.4425,-10.02529333
127.4068,-7.394403333
128.371,-1.664225333
129.3352,3.479539433
130.2995,7.915788267
131.2637,11.52857967
132.2279,14.26363967
133.1922,16.1543798
134.1564,19.490414
135.1206,26.16889667
136.0849,31.27553667
137.0491,28.93546667
138.0133,11.48204637
138.9776,-0.9814
139.9418,-5.18364
140.906,-3.612841
141.8703,-0.813834567
142.8345,0.4017905
143.7987,0.749982333
144.763,0.906346667
145.7272,0.93234
146.6914,0.540333333
147.6557,-1.752718
148.6199,-4.093115567
149.5841,-5.201205
150.5484,-4.506152533
151.5126,-2.061263333
152.4768,3.414907333
153.4411,12.061248
154.4053,20.10952333
155.3695,24.24768667
156.3338,21.40231
157.298,23.11478
158.2622,33.11554333
159.2265,44.28246667
160.1907,48.61152333
161.1549,37.51847333
162.1192,28.32360067
163.0834,28.09134067
164.0476,33.76855333
165.0119,39.52256
165.9761,36.79495333
166.9403,31.82755333
167.9046,31.16552667
168.8688,35.27558333
169.833,41.81101667
170.7973,41.25628333
171.7615,34.68440667
172.7257,27.85906667
173.69,22.82055667
174.6542,19.62259
175.6184,17.12589667
176.5827,16.38015667
177.5469,15.40535767
178.5111,12.81215767
179.4754,7.534000667
180.4396,4.549039667
181.4038,5.578856667
182.3681,7.748534667
183.3323,8.580535667
184.2965,5.835888667
185.2608,2.395784567
186.225,1.453418333
187.1892,2.283691567
188.1535,3.3012852
189.1177,1.4306
190.0819,-2.020915
191.0462,0.121028667
192.0104,8.866504
192.9746,22.13984667
193.9389,31.45429667
194.9031,36.26710333
195.8673,38.38268333
196.8316,36.62128667
197.7958,31.28693
198.76,28.57218333
199.7243,31.29158333
200.6885,34.55531
201.6527,36.81616333
202.617,37.42902
203.5812,37.29461333
204.5454,38.24035
205.5097,39.02873
206.4739,38.11779
207.4381,34.36640667
208.4024,28.69598
209.3666,26.35060667
210.3308,26.73776333
211.2951,27.38911
212.2593,25.38486
213.2235,18.72912
214.1878,15.23042
215.152,15.42169667
216.1162,17.89718667
217.0805,20.75714333
218.0447,24.94132333
219.0089,28.73849333
219.9732,32.88834667
220.9374,36.39523333
221.9016,37.34043
222.8659,30.92848333
223.8301,23.82211667
224.7943,19.39761
225.7586,18.13986
226.7228,19.29920333
227.687,23.13086
228.6513,27.92714667
229.6155,28.98072667
230.5797,24.44621
231.544,14.73953567
232.5082,10.15771317
233.4724,13.71430467
234.4367,17.02317467
235.4009,16.82469033
236.3651,12.52833667
237.3294,8.368323333
238.2936,3.313053333
239.2578,-1.146434333
240.2221,-3.75908127
241.1863,-3.629575
242.1505,-2.649187667
243.1148,-2.467626867
244.079,-2.897411333
245.0432,-3.761672333
246.0075,-4.874917733
246.9717,-6.307609333
247.9359,-8.595156667
248.9002,-11.31991367
249.8644,-13.01056967
250.8286,-11.720746
251.7929,-5.2693183
252.7571,-2.168521667
253.7213,-4.435856
254.6856,-9.3153655
255.6498,-12.20859467
256.614,-11.05602167
257.5783,-10.57799572
258.5425,-11.719508
259.5067,-13.63135567
260.471,-14.73717733
261.4352,-13.10019433
262.3994,-11.88361133
263.3637,-12.78428637
264.3279,-15.57324367
265.2921,-19.32508127
266.2564,-22.977611
267.2206,-25.892372
268.1848,-26.63445567
269.1491,-24.78390233
270.1133,-20.801644
271.0775,-17.43819067
272.0418,-14.19816067
273.006,-12.35932707
273.9702,-13.16500443
274.9345,-16.69848553
275.8987,-19.06274543
276.8629,-18.653964
277.8272,-18.14760733
278.7914,-17.96220533
279.7556,-18.23406033
280.7199,-19.32015733
281.6841,-23.7345207
282.6483,-27.56349267
283.6126,-27.49025067
284.5768,-22.280021
285.541,-14.56510967
286.5053,-13.06850767
287.4695,-15.79964967
288.4337,-18.97930567
289.398,-20.07639367
290.3622,-18.659976
291.3264,-17.53696333
292.2907,-15.72770967
293.2549,-14.33644933
294.2191,-14.78609233
295.1834,-18.70877423
296.1476,-20.27174533
297.1118,-16.74264433
298.0761,-12.212517
299.0403,-9.616707
300.0045,-10.62361633
300.9688,-12.77744
301.933,-15.61348667
302.8972,-18.07744333
303.8615,-18.24560733
304.8257,-14.11807433
305.79,-6.957774
306.7542,-4.061036333
307.7184,-4.868514667
308.6827,-7.079876
309.6469,-8.127575
310.6111,-7.989306
311.5754,-7.380615333
312.5396,-5.802425333
313.5038,-4.161767333
314.4681,-3.552896667
315.4323,-4.664005867
316.3965,-5.043994
317.3608,-4.012524667
318.325,-2.166958333
319.2892,-0.238831867
320.2535,1.170962733
321.2177,2.2657984
322.1819,3.144936333
323.1462,4.080078333
324.1104,5.392212667
325.0746,7.431497
326.0389,10.39344333
327.0031,14.65214667
327.9673,20.441723
328.9316,26.25779533
329.8958,29.28290333
330.86,27.14933933
331.8243,26.30308367
332.7885,26.637979
333.7527,27.91187333
334.717,29.78126667
335.6812,32.14916
336.6454,35.71947333
337.6097,41.97885667
