Series,Raman shift (cm-1),Intensity,Delta Raman shift vs Mud Tank (cm-1),Delta Intensity vs Mud Tank,FWHM measured (cm-1),"FWHM, Irmer 1985 corrected (cm-1)",Reliable (b>=2s),"Alpha dose, nu3(SiO4) band, Eq.6 (1e16 alpha/mg)"
metamict zone,357.78,327.14,-1.29,-899.04,8.09,7.58,yes,N/A
metamict zone,393.46,26.66,-2.25,-18.52,3.45,1.98,no,N/A
metamict zone,416.6,78.21,N/A,N/A,6.3,5.63,yes,N/A
metamict zone,439.74,278.88,-1.29,-708.28,10.64,10.26,yes,N/A
metamict zone,471.56,67.35,N/A,N/A,8.14,7.63,yes,N/A
metamict zone,508.2,46.42,N/A,N/A,11.56,11.21,yes,N/A
metamict zone,824.47,129.84,N/A,N/A,21.67,21.49,yes,N/A
metamict zone,973.92,109.78,-2.25,-412.72,7.4,6.83,yes,N/A
metamict zone,1006.71,463.07,-3.21,-1791.8,7.2,6.62,yes,0.039
replacement zone,357.78,312.25,-1.29,-913.92,6.21,5.53,yes,N/A
replacement zone,393.46,28.3,-2.25,-16.88,2.04,undefined (bs<s*sqrt2),N/A,N/A
replacement zone,440.7,279.14,-0.32,-708.02,7.49,6.94,yes,N/A
replacement zone,769.51,16.91,N/A,N/A,4.21,3.11,no,N/A
replacement zone,975.85,124.38,-0.32,-398.12,4.9,4.0,yes,N/A
replacement zone,1004.78,524.05,-5.14,-1730.83,4.81,3.89,no,0.019
Mud Tank,359.06,1226.18,0.0,0.0,6.19,5.51,yes,N/A
Mud Tank,395.71,45.17,0.0,0.0,4.75,3.81,no,N/A
Mud Tank,441.02,987.16,0.0,0.0,7.08,6.5,yes,N/A
Mud Tank,976.17,522.5,0.0,0.0,4.22,3.13,no,N/A
Mud Tank,1009.92,2254.88,0.0,0.0,4.35,3.31,no,0.015
