Class,ppm U,207Pb*/235U,207Pb*/235U ±%,206Pb*/238U,206Pb*/238U ±%,err corr,ppm 206Pb*,ppm 208Pb*,Total 207Pb/206Pb
SMMZ ,1221,3.264853832,7.299341997,0.237787035,5.717330276,0.78326653,245.7640612,60.92612532,0.099425508
SMMZ ,276,0.661931183,3.237280691,0.083256571,1.942558517,0.600058723,19.76184792,1.382143492,0.060271197
SMCZ,838,3.161556449,23.7146671,0.202664489,18.98997262,0.8007691,139.7536929,28.26103428,0.112890702
SMCZ,935,3.318280675,1.069605194,0.256253602,0.968483851,0.905459188,205.3820353,48.86646896,0.093957511
SMCZ,123,3.041986341,1.878752284,0.234254921,1.320199183,0.702699975,24.59638819,1.012556468,0.094815165
SMCZ,154,1.159637206,2.189718811,0.120805079,1.263482312,0.577006648,15.86660838,1.218012957,0.069620265
SMCZ,976,3.18938069,1.233320787,0.246965443,1.147600448,0.930496316,205.9919672,55.26757605,0.09366318
SMMZ ,242,0.89474517,2.646979413,0.104550392,1.846185762,0.697468878,21.71227332,1.898032453,0.062515497
SMCZ,1124,2.931774781,1.366039087,0.233321669,1.292211812,0.945955225,223.9407053,12.58094569,0.091020629
SMMZ ,319,1.749009109,1.968219058,0.149414474,1.649398652,0.838015792,40.10764617,0.553881304,0.08529479
RPHZR,418,0.758715668,2.312872754,0.093251777,1.712654557,0.740488016,33.48086999,10.78280431,0.058226674
RPHZR,156,0.542490723,4.841734163,0.07268683,1.259844722,0.260205265,9.752370024,2.935763464,0.058683569
RPRZC,533,0.769155717,1.991455926,0.094208126,1.586464851,0.796635682,43.18094216,12.2047552,0.059214032
RPRZC,526,0.756428161,1.741168314,0.091885699,1.246450757,0.715870342,41.46737097,11.8112335,0.059506589
RPRZC,659,0.758327475,1.493682984,0.094168189,0.984119801,0.65885453,53.35420238,18.37883146,0.058721396
RPRZC,538,0.77743869,1.801689988,0.093639554,1.275605331,0.708004895,43.25579908,11.00408091,0.05980539
Mix,574,0.755323704,1.880240479,0.093553507,1.45913905,0.776038526,46.19635375,15.59160564,0.058905382
Mix,353,0.763855296,2.584877208,0.08950467,1.618844616,0.626275248,27.05633688,6.726596933,0.058993503
RPRZC,617,0.759752556,1.500302839,0.093723723,0.990332366,0.66008831,49.703474,13.09797575,0.058621128
RPHZR,485,0.763393815,2.16406734,0.094518848,1.77239215,0.819009703,39.39908109,11.57193448,0.058577245
RPRZC,514,0.759878631,1.764861878,0.093540963,1.234146607,0.699287929,41.32374626,10.20624518,0.058711098
Mix,584,0.760269459,2.019512973,0.090922694,1.612478133,0.79844901,45.51037499,12.05382604,0.060266867
RPHZR,139,0.692570023,3.372807127,0.082047056,1.27838099,0.379025821,9.717342442,2.562700748,0.059482072
