reaction_progress_eps,delta18O_fluid_permil,delta18O_bulk_CZ_permil
0.0,-50.11277732128184,
0.01,-49.9677795985252,-49.9677795985252
0.02,-49.823197682429466,-49.89548864047733
0.03,-49.67903038059538,-49.823335887183354
0.04,-49.535276504043075,-49.751321041398285
0.05,-49.391934867202316,-49.67944380655909
0.06,-49.24900428790268,-49.60770388678302
0.07,-49.10648358736383,-49.536100986865996
0.08,-48.96437159018581,-49.46463481228097
0.09,-48.82266712433931,-49.393305069176336
0.1,-48.68136902115604,-49.32211146437431
0.11,-48.540476115319045,-49.25105370536929
0.12,-48.39998724485316,-49.180131500326276
0.13,-48.25990125111536,-49.10934455807928
0.14,-48.120216978785244,-49.038692588129706
0.15,-47.980933275855506,-48.96817530064476
0.16,-47.84204899362241,-48.897792406455864
0.17,-47.703562986676346,-48.82754361705707
0.18,-47.56547411289235,-48.75742864460347
0.19,-47.427781233420724,-48.68744720190964
0.2,-47.29048321267761,-48.61759900244804
0.21,-47.15357891833564,-48.547883760347446
0.22,-47.0170672213146,-48.478301190391406
0.23,-46.88094699577211,-48.40885100801665
0.24,-46.745217119094356,-48.33953292931155
0.25,-46.60987647188679,-48.27034667101456
0.26,-46.47492393796495,-48.20129195051265
0.27,-46.34035840434522,-48.13236848583978
0.28,-46.20617876123567,-48.06357599567535
0.29,-46.07238390202688,-47.99491419934264
0.3,-45.938972723282845,-47.92638281680731
0.31,-45.80594412473185,-47.85798156867585
0.32,-45.673297009257396,-47.78971017619401
0.33,-45.54103028288919,-47.72156836124539
0.34,-45.409142854794055,-47.65355584634976
0.35000000000000003,-45.27763363726699,-47.58567235466168
0.36,-45.14650154572218,-47.51791760996892
0.37,-45.015745498684055,-47.450291336690945
0.38,-44.88536441777836,-47.38279325987746
0.39,-44.75535722772328,-47.31542310520684
0.4,-44.62572285632055,-47.24818059898468
0.41000000000000003,-44.49646023444662,-47.18106546814229
0.42,-44.36756829604386,-47.114077440235185
0.43,-44.23904597811174,-47.047216243441625
0.44,-44.110892220698055,-46.98048160656109
0.45,-43.983105966890236,-46.913873259012846
0.46,-43.85568616280656,-46.84739093083445
0.47000000000000003,-43.728631757587536,-46.781034352680265
0.48,-43.601941703387155,-46.71480325581999
0.49,-43.475614955364335,-46.64869737213722
0.5,-43.349650471674224,-46.58271643412797
0.51,-43.22404721345967,-46.51686017489917
0.52,-43.098804144842624,-46.451128328167314
0.53,-42.97392023291558,-46.385520628256906
0.54,-42.849394447733104,-46.32003681009906
0.55,-42.72522576230331,-46.254676609230046
0.56,-42.601413152579376,-46.189439761789856
0.5700000000000001,-42.47795559745112,-46.12432600452075
0.58,-42.35485207873659,-46.059335074765855
0.59,-42.23210158117364,-45.994466710467684
0.6,-42.10970309241156,-45.92972065016675
0.61,-41.98765560300276,-45.86509663300013
0.62,-41.86595810639439,-45.800594398700035
0.63,-41.744609598920086,-45.73621368759241
0.64,-41.62360907979168,-45.67195424059553
0.65,-41.50295555109092,-45.60781579921854
0.66,-41.382648017761284,-45.54379810556009
0.67,-41.26268548759973,-45.47990090230695
0.68,-41.143066971248565,-45.41612393273257
0.6900000000000001,-41.02379148218722,-45.35246694069568
0.7000000000000001,-40.904858036724164,-45.288929670638936
0.71,-40.78626565398878,-45.22551186758753
0.72,-40.66801335592326,-45.16221327714774
0.73,-40.55010016727456,-45.09903364550564
0.74,-40.43252511558635,-45.03597271942565
0.75,-40.31528723119097,-44.973030246249195
0.76,-40.198385547201475,-44.9102059738933
0.77,-40.08181909950365,-44.84749965084927
0.78,-39.965586926747996,-44.78491102618131
0.79,-39.84968807034191,-44.72243984952512
0.8,-39.73412157444171,-44.66008587108657
0.81,-39.61888648594474,-44.59784884164038
0.8200000000000001,-39.50398185448156,-44.535728512528685
0.8300000000000001,-39.38940673240807,-44.473724635659764
0.84,-39.27516017479772,-44.411836963506644
0.85,-39.16124123943369,-44.35006524910579
0.86,-39.04764898680115,-44.288409246055735
0.87,-38.93438248007947,-44.22686870851578
0.88,-38.82144078513454,-44.165443391204626
0.89,-38.708822970511044,-44.10413304939908
0.9,-38.59652810742478,-44.042937438932704
0.91,-38.484555269754985,-43.98185631619448
0.92,-38.372903534036716,-43.920889438127546
0.93,-38.26157197945324,-43.86003656222782
0.9400000000000001,-38.15055968782843,-43.799297446542724
0.9500000000000001,-38.03986574361916,-43.73867184966984
0.96,-37.92948923390784,-43.67815953075566
0.97,-37.81942924839479,-43.617760249494204
0.98,-37.709684879390785,-43.5574737661258
0.99,-37.600255221809576,-43.49729984143574
1.0,-37.49113937316038,-43.43723823675299
