reaction_progress_eps,delta18O_fluid_permil,delta18O_bulk_CZ_permil
0.0,-50.11277732128184,
0.01,-49.9677795985252,-49.9677795985252
0.02,-49.82361111111111,-49.82361111111111
0.03,-49.680264765784116,-49.680264765784116
0.04,-49.537733549959384,-49.537733549959384
0.05,-49.39601053057918,-49.39601053057918
0.06,-49.25508885298869,-49.25508885298869
0.07,-49.11496173983085,-49.11496173983085
0.08,-48.97562248995983,-48.97562248995983
0.09,-48.83706447737284,-48.83706447737284
0.1,-48.69928115015974,-48.69928115015974
0.11,-48.56226602947033,-48.56226602947033
0.12,-48.4260127084988,-48.4260127084988
0.13,-48.29051485148514,-48.29051485148514
0.14,-48.15576619273301,-48.15576619273301
0.15,-48.02176053564395,-48.02176053564395
0.16,-47.888491751767475,-47.888491751767475
0.17,-47.755953779866815,-47.755953779866815
0.18,-47.62414062499999,-47.62414062499999
0.19,-47.49304635761588,-47.49304635761588
0.2,-47.3626651126651,-47.3626651126651
0.21,-47.23299108872529,-47.23299108872529
0.22,-47.10401854714064,-47.10401854714064
0.23,-46.97574181117533,-46.97574181117533
0.24,-46.84815526518062,-46.84815526518062
0.25,-46.72125335377539,-46.72125335377539
0.26,-46.59503058103975,-46.59503058103975
0.27,-46.46948150972169,-46.46948150972169
0.28,-46.344600760456274,-46.344600760456274
0.29,-46.220383010997345,-46.220383010997345
0.3,-46.096822995461416,-46.096822995461416
0.31,-45.97391550358355,-45.97391550358355
0.32,-45.85165537998495,-45.85165537998495
0.33,-45.730037523452154,-45.730037523452154
0.34,-45.60905688622754,-45.60905688622754
0.35000000000000003,-45.48870847331093,-45.48870847331093
0.36,-45.36898734177214,-45.36898734177214
0.37,-45.24988860007426,-45.24988860007426
0.38,-45.1314074074074,-45.1314074074074
0.39,-45.01353897303287,-45.01353897303287
0.4,-44.89627855563743,-44.89627855563743
0.41000000000000003,-44.77962146269753,-44.77962146269753
0.42,-44.66356304985336,-44.66356304985336
0.43,-44.548098720292494,-44.548098720292494
0.44,-44.43322392414295,-44.43322392414295
0.45,-44.31893415787558,-44.31893415787558
0.46,-44.205224963715516,-44.205224963715516
0.47000000000000003,-44.0920919290626,-44.0920919290626
0.48,-43.979530685920565,-43.979530685920565
0.49,-43.86753691033488,-43.86753691033488
0.5,-43.75610632183907,-43.75610632183907
0.51,-43.64523468290934,-43.64523468290934
0.52,-43.534917798427436,-43.534917798427436
0.53,-43.425151515151505,-43.425151515151505
0.54,-43.31593172119487,-43.31593172119487
0.55,-43.20725434551258,-43.20725434551258
0.56,-43.099115357395604,-43.099115357395604
0.5700000000000001,-42.991510765972464,-42.991510765972464
0.58,-42.88443661971831,-42.88443661971831
0.59,-42.7778890059712,-42.7778890059712
0.6,-42.671864050455504,-42.671864050455504
0.61,-42.5663579168123,-42.5663579168123
0.62,-42.46136680613668,-42.46136680613668
0.63,-42.356886956521734,-42.356886956521734
0.64,-42.25291464260929,-42.25291464260929
0.65,-42.149446175147105,-42.149446175147105
0.66,-42.04647790055248,-42.04647790055248
0.67,-41.94400620048226,-41.94400620048226
0.68,-41.84202749140893,-41.84202749140893
0.6900000000000001,-41.74053822420294,-41.74053822420294
0.7000000000000001,-41.63953488372093,-41.63953488372093
0.71,-41.53901398839986,-41.53901398839986
0.72,-41.43897208985704,-41.43897208985704
0.73,-41.33940577249575,-41.33940577249575
0.74,-41.24031165311653,-41.24031165311653
0.75,-41.14168638053396,-41.14168638053396
0.76,-41.04352663519892,-41.04352663519892
0.77,-40.945829128826105,-40.945829128826105
0.78,-40.848590604026846,-40.848590604026846
0.79,-40.751807833947105,-40.751807833947105
0.8,-40.65547762191049,-40.65547762191049
0.81,-40.55959680106631,-40.55959680106631
0.8200000000000001,-40.464162234042554,-40.464162234042554
0.8300000000000001,-40.36917081260365,-40.36917081260365
0.84,-40.27461945731304,-40.27461945731304
0.85,-40.1805051172004,-40.1805051172004
0.86,-40.08682476943346,-40.08682476943346
0.87,-39.99357541899441,-39.99357541899441
0.88,-39.90075409836066,-39.90075409836066
0.89,-39.80835786719006,-39.80835786719006
0.9,-39.71638381201045,-39.71638381201045
0.91,-39.62482904591339,-39.62482904591339
0.92,-39.53369070825212,-39.53369070825212
0.93,-39.4429659643436,-39.4429659643436
0.9400000000000001,-39.35265200517465,-39.35265200517465
0.9500000000000001,-39.262746047111975,-39.262746047111975
0.96,-39.17324533161623,-39.17324533161623
0.97,-39.08414712495985,-39.08414712495985
0.98,-38.99544871794872,-38.99544871794872
0.99,-38.90714742564759,-38.90714742564759
1.0,-38.81924058710913,-38.81924058710913
