reaction_progress_eps,delta29Si_fluid_permil,delta29Si_bulk_CZ_permil
0.0,1950000.0,
0.01,1617073.372195122,1617073.372195122
0.02,1340987.8759666868,1479030.6240809043
0.03,1112038.9278748136,1356700.058678874
0.04,922178.8245791137,1248069.7501539341
0.05,764733.8608704845,1151402.572297244
0.06,634169.7446243042,1065197.101018421
0.07,525897.0628591791,988154.2384242433
0.08,436109.96090761194,919148.7037346645
0.09,361652.36416728795,857204.666004956
0.1,299907.0400411656,801474.903408577
0.11,248703.60052194222,751222.9667825192
0.12,206242.21165234235,705807.9038550045
0.13,171030.32819950342,664671.1672661197
0.14,141830.2297264174,627325.3860132839
0.15,117615.51391946808,593344.7278736962
0.16,97535.01788443691,562356.6209993674
0.17,80882.89922124037,534034.63736536
0.18,67073.82520785787,508092.3700232766
0.19,55622.397977247965,484278.1609682225
0.2,46126.092468937335,462370.55754325824
0.21,38251.10741326511,442174.3932513538
0.22,31720.632001244227,423517.4041036215
0.23,26305.115805909838,406247.3046124166
0.24,21814.19993660816,390229.258584258
0.25,18090.025801089698,375343.6892729312
0.26,15001.686274074385,361484.3814652829
0.27,12440.624227281189,348556.8349009124
0.28,10316.816676281962,336476.8342500327
0.29,8555.610414477733,325169.2058419102
0.3,7095.097904688846,314566.7355773361
0.31,5883.941189254166,304609.2260809464
0.32,4879.567327674183,295242.6742449066
0.33,4046.671930266396,286418.5529626448
0.34,3355.9781860745725,278093.18311627506
0.35000000000000003,2783.207764061838,270227.18382049754
0.36,2308.227414100063,262784.99058698653
0.37,1914.3412702293206,255734.43249734445
0.38,1587.703980190167,249046.3606942614
0.39,1316.8340323528214,242694.32154908427
0.4,1092.2101731706325,236654.26876468645
0.41000000000000003,905.9367289707677,230904.30944674215
0.42,751.4660679269788,225424.47984248467
0.43,623.3684465735922,220196.54701932397
0.44,517.1411508171249,215203.83324958518
0.45,429.0502226288353,210431.06029343058
0.46,355.99920900927776,205864.21113942142
0.47000000000000003,295.4203196662306,201490.40707942666
0.48,245.1841675280935,197297.79826876207
0.49,203.52491941354117,193275.4661595917
0.5,168.97822585513157,189413.33640091695
0.51,140.329748270109,185702.10097635523
0.52,116.57247417521246,182133.14850515948
0.53,96.87132004773709,178698.50176581772
0.54,80.5337776005624,175390.76161788777
0.55,66.98557166875912,172203.05659886563
0.56,55.75047406677581,169128.99756092278
0.5700000000000001,46.43356386025307,166162.63678904448
0.58,38.70734564020996,163298.43110898582
0.59,32.30023784797896,160531.2085518479
0.6,26.987026508080096,157856.13819309222
0.61,22.580948811578637,155268.70282843188
0.62,18.927128282772514,152764.6741881069
0.63,15.897130771079635,150340.09042529203
0.64,13.384449907724564,147991.23564442663
0.65,11.300763338113063,145714.62126164066
0.66,9.572828134044972,143506.96901264813
0.67,8.139906257500703,141365.19544389602
0.68,6.951629579390832,139286.39774074432
0.6900000000000001,5.966229407299711,137267.84076231913
0.7000000000000001,5.149068288980245,135306.94516669013
0.71,4.471422483544602,133401.27652240553
0.72,3.9094723034272283,131548.53531337634
0.73,3.443464836988431,129746.54775380729
0.74,3.057019620917237,127993.25733848046
0.75,2.7365528563703907,126286.7170613388
0.76,2.470799929673006,124625.08224210973
0.77,2.2504194538751765,123006.60390675056
0.78,2.067664912969658,121429.62267288085
0.79,1.9161123668528863,119892.56309616547
0.8,1.790434645682882,118393.9284378965
0.81,1.6862140964199503,116932.29581784958
0.8200000000000001,1.5997872994702023,115506.31171991603
0.8300000000000001,1.5281162971216309,114114.68782107724
0.84,1.4686818073691579,112756.19711703833
0.85,1.4193946695256427,111429.67032030458
0.86,1.3785224088749233,110133.99250870115
0.87,1.344628339067009,108868.10000432917
0.88,1.3165210616653242,107630.97746474658
0.89,1.2932125877224636,106421.65516977849
0.9,1.2738836093308237,105239.20648882106
0.91,1.2578547004206828,104082.74551481973
0.92,1.2445624344952002,102951.4248522938
0.93,1.2335395798252877,101844.43354785601
0.9400000000000001,1.2243986759526775,100760.99515265199
0.9500000000000001,1.2168184142046592,99700.36590702842
0.96,1.2105323434867905,98661.83303854211
0.97,1.2053195043548992,97644.71316515
0.98,1.200996662147965,96648.35079608379
0.99,1.197411866171483,95672.11692351593
1.0,1.1944391085324493,94715.40769867186
